Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6662598_2	93.15861855678118	46.0	126.0	126	20.0	26788528.0
SRR6662600_1	92.48609486841185	44.0	126.0	126	30.0	16863856.0
SRR6662600_2	91.42602230794921	45.0	126.0	126	20.0	16863856.0
SRR8468522_1	90.10758643444632	48.0	114.06190950028405	118	10.0	65467432.0
SRR8468522_2	90.09433189337183	48.0	114.5939979438937	118	10.0	65467432.0
SRR869504_1	45.14129667564698	42.0	100.0	100	0.0	28206932.0
SRR869504_2	43.21838928698769	42.0	100.0	100	0.0	28206932.0
SRR9596698	90.88146975490034	43.0	101.0	101	20.0	31748504.0
SRR9596699	90.2201687129972	43.0	101.0	101	20.0	28045264.0
SRR9596707	94.14209448861772	43.0	101.0	101	20.0	25407736.0
SRR9596713	90.26148578424991	44.0	101.0	101	30.0	31078848.0
SRR9596714	90.60883820680466	45.0	101.0	101	20.0	28480448.0
SRR9596715	94.72588613606155	44.0	101.0	101	30.0	51573536.0
