Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
SRR11050679_1	504.0	460.0	272.0	156.0	188.0	232.0	432.0	616.0	832.0	1228.0	1232.0	1052.0	1136.0	1168.0	1240.0	1468.0	1748.0	2268.0	3100.0	4684.0	6836.0	10204.0	15956.0	24648.0	39216.0	59152.0	85432.0	117152.0	157140.0	211144.0	275996.0	349624.0	431348.0	524640.0	626008.0	723016.0	819788.0	918308.0	1012860.0	1101716.0	1179680.0	1254740.0	1305068.0	1325764.0	1332908.0	1319188.0	1279872.0	1206584.0	1109876.0	1010596.0	905688.0	797204.0	706896.0	619892.0	527824.0	455456.0	399104.0	344476.0	296212.0	258020.0	220976.0	181828.0	147168.0	118488.0	96832.0	79412.0	64792.0	52080.0	39944.0	30644.0	25472.0	23712.0	21920.0	17124.0	12400.0	9944.0	7192.0	4900.0	3904.0	3056.0	2304.0	1812.0	1304.0	920.0	856.0	836.0	740.0	724.0	620.0	332.0	200.0	188.0	216.0	336.0	280.0	116.0	80.0	48.0	40.0	80.0	1024.0
SRR11050679_1_paired	168.0	84.0	12.0	12.0	4.0	8.0	8.0	12.0	20.0	28.0	64.0	128.0	148.0	188.0	276.0	392.0	688.0	1344.0	2140.0	3784.0	6696.0	10752.0	16584.0	26164.0	41712.0	65168.0	94780.0	129044.0	173000.0	223788.0	288912.0	364532.0	440696.0	535052.0	636092.0	726788.0	825052.0	916484.0	1005872.0	1095284.0	1171488.0	1240500.0	1284012.0	1306944.0	1313720.0	1289876.0	1234040.0	1168428.0	1079248.0	972468.0	870992.0	775260.0	687400.0	599660.0	516604.0	449356.0	393860.0	339284.0	293824.0	253728.0	211652.0	175144.0	145024.0	118168.0	97944.0	82520.0	69028.0	55920.0	42496.0	33724.0	28852.0	22356.0	17048.0	14788.0	12436.0	10344.0	9636.0	7208.0	4652.0	3800.0	4744.0	3812.0	1192.0	696.0	544.0	480.0	364.0	348.0	344.0	240.0	208.0	188.0	196.0	224.0	232.0	232.0	176.0	96.0	60.0	52.0	836.0
SRR11050679_2	584.0	508.0	408.0	364.0	264.0	228.0	284.0	348.0	408.0	432.0	532.0	688.0	728.0	788.0	980.0	1260.0	1684.0	2200.0	3008.0	4172.0	6292.0	9600.0	14512.0	22484.0	34800.0	52580.0	77524.0	109316.0	149032.0	203344.0	266500.0	333764.0	408776.0	496060.0	590484.0	687564.0	795880.0	900260.0	999340.0	1089640.0	1170540.0	1248948.0	1304076.0	1331468.0	1328664.0	1296592.0	1246140.0	1169512.0	1072616.0	981700.0	885440.0	785764.0	710612.0	632760.0	548580.0	479992.0	417940.0	367036.0	321180.0	277744.0	238916.0	202120.0	171328.0	144416.0	122464.0	104984.0	89400.0	73852.0	61208.0	53852.0	45436.0	36400.0	30720.0	25680.0	20960.0	16924.0	13236.0	10152.0	7296.0	5268.0	3880.0	2652.0	2220.0	2112.0	1504.0	1128.0	1068.0	908.0	824.0	820.0	756.0	704.0	684.0	556.0	460.0	496.0	452.0	384.0	368.0	384.0	1708.0
SRR11050679_2_paired	168.0	92.0	12.0	20.0	36.0	28.0	44.0	60.0	56.0	52.0	84.0	168.0	200.0	248.0	368.0	580.0	848.0	1328.0	2260.0	3436.0	5372.0	8592.0	14476.0	23384.0	35804.0	54536.0	81040.0	113924.0	152896.0	202984.0	266800.0	337288.0	411696.0	496732.0	587496.0	688296.0	792512.0	892180.0	989744.0	1078748.0	1161140.0	1231752.0	1277864.0	1301708.0	1307092.0	1287952.0	1244712.0	1168284.0	1075576.0	981244.0	878704.0	778800.0	692832.0	620884.0	552592.0	481500.0	411300.0	352564.0	305888.0	266812.0	231112.0	194980.0	164328.0	138916.0	115996.0	97552.0	82432.0	69348.0	57736.0	50140.0	42864.0	33996.0	27972.0	23376.0	19664.0	15736.0	12168.0	10092.0	7412.0	4872.0	4256.0	3412.0	1632.0	828.0	560.0	512.0	424.0	304.0	324.0	312.0	316.0	308.0	256.0	264.0	300.0	256.0	220.0	244.0	232.0	240.0	1536.0
SRR11816476_1	2056.0	1456.0	784.0	716.0	688.0	668.0	664.0	684.0	776.0	848.0	888.0	868.0	956.0	1128.0	1272.0	1444.0	1740.0	2188.0	2968.0	4456.0	6464.0	9212.0	13444.0	18584.0	25932.0	36060.0	52444.0	69724.0	86056.0	105212.0	132920.0	161340.0	185884.0	210312.0	239544.0	281364.0	310132.0	323424.0	343756.0	374884.0	418828.0	460528.0	472324.0	476952.0	486516.0	482160.0	457908.0	429500.0	405164.0	364048.0	316100.0	275424.0	240228.0	216232.0	193552.0	171172.0	152364.0	134256.0	119988.0	106100.0	92124.0	79712.0	70524.0	60864.0	52136.0	45916.0	39128.0	32968.0	28092.0	22816.0	18428.0	16164.0	14184.0	12152.0	10356.0	8244.0	6376.0	6028.0	5616.0	4732.0	4300.0	3724.0	3116.0	2580.0	2116.0	1908.0	1764.0	1572.0	1456.0	1052.0	692.0	572.0	428.0	400.0	404.0	876.0	1196.0	712.0	276.0	172.0	156.0
SRR11816476_1_paired	168.0	136.0	84.0	64.0	76.0	112.0	96.0	68.0	88.0	76.0	88.0	112.0	164.0	232.0	388.0	628.0	940.0	1432.0	2348.0	3692.0	5460.0	8804.0	13352.0	19108.0	26644.0	37496.0	49728.0	67684.0	87344.0	103624.0	132964.0	168196.0	189832.0	200500.0	227376.0	267848.0	294544.0	313816.0	338788.0	372208.0	417372.0	453412.0	463488.0	469768.0	476384.0	474896.0	455388.0	428492.0	398020.0	352584.0	308364.0	264748.0	227620.0	205204.0	183692.0	165908.0	149128.0	131056.0	118768.0	104804.0	89968.0	77708.0	67672.0	58532.0	51824.0	45192.0	37132.0	31608.0	26768.0	22936.0	19268.0	15416.0	12540.0	11224.0	9468.0	7160.0	6024.0	5492.0	5320.0	4792.0	4076.0	3532.0	2812.0	2256.0	1836.0	1484.0	1460.0	1332.0	984.0	748.0	568.0	424.0	372.0	288.0	216.0	172.0	172.0	120.0	72.0	104.0	792.0
SRR11816476_2	1536.0	936.0	340.0	356.0	368.0	452.0	568.0	620.0	628.0	588.0	668.0	848.0	904.0	924.0	1204.0	1656.0	1896.0	2472.0	3332.0	4312.0	6480.0	9800.0	13956.0	19128.0	26844.0	36936.0	51628.0	68636.0	85544.0	105688.0	135328.0	164084.0	186932.0	210376.0	239784.0	279616.0	308432.0	323508.0	344576.0	373048.0	414488.0	455664.0	469532.0	476864.0	485924.0	481888.0	460748.0	430928.0	402816.0	363092.0	316772.0	276148.0	241656.0	216128.0	193228.0	171644.0	152600.0	134228.0	118392.0	104724.0	90812.0	79140.0	70380.0	60900.0	52536.0	45856.0	39904.0	34160.0	28380.0	23636.0	19292.0	16620.0	14376.0	12240.0	10332.0	8208.0	6908.0	6424.0	5940.0	5096.0	4616.0	3952.0	3344.0	2948.0	2576.0	2204.0	1956.0	1684.0	1320.0	968.0	632.0	616.0	540.0	492.0	504.0	468.0	484.0	528.0	516.0	612.0	2496.0
SRR11816476_2_paired	536.0	284.0	32.0	32.0	36.0	48.0	44.0	52.0	68.0	56.0	84.0	124.0	156.0	240.0	404.0	716.0	1096.0	1496.0	2380.0	3804.0	5804.0	8984.0	13308.0	18224.0	26052.0	38060.0	50436.0	68728.0	89112.0	107352.0	134816.0	167620.0	189776.0	199428.0	228216.0	270836.0	296844.0	314772.0	338328.0	372868.0	418312.0	453212.0	464056.0	467368.0	472604.0	473800.0	455256.0	428956.0	398736.0	352512.0	306960.0	264600.0	229992.0	207560.0	184508.0	165172.0	147556.0	129804.0	117272.0	102728.0	88004.0	76256.0	66832.0	58348.0	51672.0	44848.0	37244.0	31840.0	26688.0	23144.0	19108.0	14564.0	12280.0	11152.0	9348.0	7464.0	6252.0	5440.0	4664.0	4432.0	4240.0	3704.0	3132.0	2276.0	1792.0	1508.0	1492.0	1236.0	708.0	476.0	284.0	244.0	220.0	184.0	124.0	72.0	68.0	92.0	76.0	100.0	1372.0
SRR11816478_1	1368.0	944.0	500.0	496.0	572.0	652.0	616.0	676.0	828.0	816.0	808.0	892.0	1036.0	1212.0	1368.0	1504.0	1816.0	2128.0	2772.0	3996.0	5744.0	8400.0	11628.0	16008.0	22840.0	30908.0	41540.0	55140.0	70372.0	88540.0	109548.0	131784.0	155320.0	176464.0	201236.0	232856.0	265772.0	297072.0	340708.0	395676.0	453304.0	501452.0	516356.0	525352.0	545532.0	552568.0	533804.0	516208.0	493176.0	440828.0	384148.0	328956.0	276364.0	248672.0	222624.0	190512.0	166012.0	144336.0	129044.0	112788.0	94632.0	79328.0	69468.0	61032.0	53460.0	46668.0	39584.0	33532.0	28692.0	23640.0	18216.0	15244.0	12868.0	11332.0	9380.0	6832.0	5820.0	5448.0	4952.0	4332.0	3808.0	3156.0	2688.0	2264.0	1784.0	1476.0	1596.0	1456.0	1244.0	988.0	552.0	432.0	296.0	280.0	328.0	748.0	1100.0	716.0	252.0	100.0	164.0
