Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR11050679_1										26.644553218244177	5.266265684834865	7.2478502486053795	1.6579936072925794	1.0392071163482746	0.02020026019964672	0.0
SRR11050679_1_paired										27.38372438074646	5.376524655023344	7.44366014855366	1.6696606725005263	1.061885575900075	0.02035059847566765	0.0
SRR11050679_2										23.02653925932761	3.9713338642729026	5.207510315951796	0.8379773893690341	0.3718675365167234	0.0	0.0
SRR11050679_2_paired										23.03209846194913	3.929769390726947	5.197492967109594	0.8101790018573751	0.35757948140155305	0.0	0.0
SRR11816476_1										22.24612515379612	6.9770740441795915	11.436890609943248	2.48070485520914	1.7992551284182576	0.07677049579385034	0.0
SRR11816476_1_paired										22.877977522123775	7.201508515355372	11.813598995794075	2.5809073644361744	1.8312315749670947	0.0	0.0
SRR11816476_2										21.842448896427623	6.931175612998371	11.033858992687437	2.498259912476888	1.6531581353055103	0.11951567271594446	0.0
SRR11816476_2_paired										22.524672776631665	7.257070733175063	11.522428934435446	2.657131097004448	1.6900406828194259	0.053934093500901524	0.0
SRR11816478_1										21.551188045103604	8.011534438748788	15.394834459945267	3.7465421685671867	1.9050215431766482	0.06201950880118616	0.0
SRR11816478_1_paired										22.09224921079951	8.335803715252469	15.874088430419686	3.7856577424089153	1.8997925684511492	0.0	0.0
SRR11816478_2										21.20477294912203	8.0233965148683	14.835716214039449	3.628044022592321	1.847530340835387	0.06131022313796789	0.0
SRR11816478_2_paired										21.845333725253294	8.360472196004515	15.550566116762898	3.6326299641908624	1.9234920072222772	0.0	0.0
SRR11816479_1										12.744151747713294	1.991090800320256	1.5888758719867575	0.04096626224712924	0.02290039504497908	0.0	0.0
SRR11816479_1_paired										12.911935189790254	2.0387924210160597	1.5829351501501818	0.041100960460911926	0.013440187492492296	0.0	0.0
SRR11816479_2										12.112932930346984	1.8209599184066245	1.560561380741189	0.08122943725770003	0.0	0.05852923998443245	0.0
SRR11816479_2_paired										12.6562393137709	1.882453281117536	1.5961926512840456	0.0732685093455019	0.025665655344696524	0.0	0.0
SRR12963743_1										21.502011687356827	5.045735547305397	7.484182159848219	0.9083765290016976	0.4149412600261417	0.0	1.5677726639267058
SRR12963743_1_paired										22.90041276396828	5.4961305955462025	8.292572221978396	0.9829931202454376	0.5548627189047939	0.0	1.041880359820568
SRR12963743_2										22.385376274480564	5.426229361395826	7.252799741130699	0.7329978974156336	0.4029321583796072	0.0	0.09195007274109443
SRR12963743_2_paired										22.475485671772116	5.464391944316209	7.234419270865783	0.6887864901709334	0.44721878135173687	0.07784103583462086	0.0
SRR12963744_1										22.267065625713702	4.633436972537187	7.0993588213526015	0.9075778672616732	0.4763098436148467	0.0	3.4831533402096495
SRR12963744_1_paired										23.092880611727757	4.852931065177827	7.455898608644938	0.9250313623792821	0.543881416042293	0.029109146210714275	2.618509964398388
SRR12963744_2										23.060209402487	5.040627415459982	6.947923491470684	0.8608136979524457	0.5140749997460409	0.08012175470752023	0.34584091102054687
SRR12963744_2_paired										22.726977703859994	4.9011273963802875	6.62378753259932	0.7936117279420926	0.46790945845130993	0.0	0.3204625000378406
SRR12963745_1										20.776643064596726	3.8501188862010123	5.230876881798999	0.6491585561729466	0.3459232533986406	0.040266743697192166	0.0
SRR12963745_1_paired										20.91217480136221	3.9910328460488547	5.250205912881707	0.6546714025368524	0.3316941882339363	0.0	0.0
SRR12963745_2										20.232028513220424	3.8817024149464032	4.641891740515622	0.4919261735387411	0.30329463630229264	0.08370478668329238	0.0
SRR12963745_2_paired										19.45978416026578	3.7294048893603806	4.277205194803399	0.4692657283887187	0.3429698286157162	0.0	0.0
SRR12963788_1										16.275662505831274	6.8401975566983815	15.064019893305952	5.815879588717113	10.932831842432877	1.4178179610567976	0.0
SRR12963788_1_paired										16.260749034416364	7.166775821761691	16.12922789128549	6.595746123439598	12.000578366417269	1.4865038728530378	0.0
SRR12963788_2										16.367410221206065	6.981197241722861	16.313471166822698	6.227558371186759	9.815965660432914	1.1821150531157831	0.09353257963025585
SRR12963788_2_paired										16.63570857580536	7.064994316479065	16.491538449310156	6.309335349414972	9.83292892847339	1.1990061641017629	0.0
SRR12963789_1										15.712357446261493	6.461032256528043	13.914413611462884	4.99341749770455	8.463175654451002	0.9045494068560824	0.0
SRR12963789_1_paired										16.06183567627437	6.671025423409496	14.57181419297712	5.341708260437676	8.870067496842413	0.926140453550189	0.0
SRR12963789_2										15.810750316790559	6.311014873350898	13.916295672840128	5.254084560318412	7.889853120151271	0.30462936469437374	0.26581428252279865
