gene_id,SRR21159093,SRR21159098
gene-CACNA2D1|CACNA2D1,181,350
gene-LOC123377318|LOC123377318,0,0
gene-LOC123377324|LOC123377324,0,0
gene-SEMA3C|SEMA3C,141,372
gene-LOC123349278|LOC123349278,0,361
gene-GNAT3|GNAT3,165,27
gene-CD36|CD36,2633,40
gene-GNAI1|GNAI1,346,258
gene-TOMM7|TOMM7,308,125
gene-TMEM60|TMEM60,262,492
gene-PHTF2|PHTF2,147,3654
gene-RSBN1L|RSBN1L,427,1153
gene-PTPN12|PTPN12,282,3115
gene-MAGI2|MAGI2,80,237
gene-LOC123378029|LOC123378029,0,0
gene-LOC123378023|LOC123378023,0,0
gene-LOC123346109|LOC123346109,71,17
gene-LOC123377155|LOC123377155,323,916
gene-CCDC146|CCDC146,308,855
gene-FGL2|FGL2,3173,223
gene-FAM185A|FAM185A,1291,753
gene-FBXL13|FBXL13,69,28
gene-LRRC17|LRRC17,43,31
gene-ARMC10|ARMC10,841,1696
gene-NAPEPLD|NAPEPLD,531,3289
gene-PMPCB|PMPCB,1700,2200
gene-LOC123377241|LOC123377241,49,0
gene-DNAJC2|DNAJC2,233,1964
gene-PSMC2|PSMC2,1364,2361
gene-SLC26A5|SLC26A5,3304,167
gene-LOC123377908|LOC123377908,149,26
gene-ORC5|ORC5,97,2092
gene-LOC123373095|LOC123373095,0,6
gene-RELN|RELN,7878,768
gene-LHFPL3|LHFPL3,8,72
gene-SRPK2|SRPK2,117,165
gene-KMT2E|KMT2E,4426,1819
gene-PUS7|PUS7,951,1053
gene-RINT1|RINT1,329,3021
gene-EFCAB10|EFCAB10,61,47
gene-ATXN7L1|ATXN7L1,532,183
gene-LOC123349103|LOC123349103,0,4
gene-LOC123346797|LOC123346797,0,0
gene-CCDC71L|CCDC71L,7,1669
gene-NAMPT|NAMPT,1161,3642
gene-PIK3CG|PIK3CG,349,1691
gene-PRKAR2B|PRKAR2B,35,185
gene-LOC123377385|LOC123377385,58,497
gene-LOC123377407|LOC123377407,2044,3810
gene-COG5|COG5,492,946
gene-GPR22|GPR22,7,13
gene-LOC123377377|LOC123377377,75,137
gene-DUS4L|DUS4L,581,145
gene-HBP1|HBP1,2384,1002
gene-LOC123377414|LOC123377414,79,122
gene-LOC123377420|LOC123377420,62,0
gene-SLC26A3|SLC26A3,3,0
gene-CBLL1|CBLL1,884,6805
gene-LOC123364887|LOC123364887,56,0
gene-LOC123377457|LOC123377457,0,6
gene-LAMB4|LAMB4,25,242
gene-DLD|DLD,1983,4570
gene-LAMB1|LAMB1,2001,5340
gene-ERGIC2|ERGIC2,865,5663
gene-TRNAK-UUU|TRNAK-UUU,0,0
gene-LRRK2|LRRK2,1041,4923
gene-LOC123345450|LOC123345450,5,0
gene-LOC123361941|LOC123361941,3,23
gene-ABCD2|ABCD2,13,84
gene-LOC123349877|LOC123349877,63,106
gene-SLC2A13|SLC2A13,249,153
gene-KIF21A|KIF21A,431,4143
gene-CPNE8|CPNE8,1091,968
gene-GTSE1|GTSE1,63,7798
gene-LOC123377570|LOC123377570,725,640
gene-TPRKB|TPRKB,487,1071
gene-TRMU|TRMU,458,2066
gene-CELSR1|CELSR1,427,229
gene-GRAMD4|GRAMD4,439,2171
gene-CERK|CERK,543,224
gene-TBC1D22A|TBC1D22A,494,1157
gene-TAFA5|TAFA5,12,775
gene-ALG12|ALG12,142,242
gene-CRELD2|CRELD2,137,4285
gene-BRD1|BRD1,785,658
gene-ZBED4|ZBED4,589,672
gene-PIM3|PIM3,443,1756
gene-TTLL8|TTLL8,139,216
gene-IL17REL|IL17REL,543,0
gene-PANX2|PANX2,0,1180
gene-MLC1|MLC1,0,21
gene-MOV10L1|MOV10L1,12,3664
gene-LOC123377737|LOC123377737,0,9
gene-TRABD|TRABD,367,1139
gene-SELENOO|SELENOO,1723,5742
gene-TUBGCP6|TUBGCP6,933,4392
gene-LOC123354047|LOC123354047,4,0
gene-HDAC10|HDAC10,1617,147
gene-MAPK12|MAPK12,499,850
gene-MAPK11|MAPK11,1328,687
gene-ZNF800|ZNF800,230,1248
gene-LOC123377815|LOC123377815,0,0
gene-PLXNB2|PLXNB2,2112,6667
gene-GPR37|GPR37,0,85
gene-LOC123344162|LOC123344162,0,222
gene-LOC123377894|LOC123377894,20,0
gene-LOC123362041|LOC123362041,218,2280
gene-LOC123354835|LOC123354835,0,0
gene-POT1|POT1,277,1380
gene-WASL|WASL,856,11298
gene-IQUB|IQUB,7,520
gene-ASB15|ASB15,0,17
gene-NDUFA5|NDUFA5,362,1224
gene-SLC13A1|SLC13A1,38,14
gene-LOC123353989|LOC123353989,166,11
gene-AASS|AASS,837,4214
gene-CADPS2|CADPS2,9,1043
gene-LOC123377987|LOC123377987,0,14
gene-LOC123377995|LOC123377995,0,0
gene-FAM3C|FAM3C,688,3876
gene-WNT16|WNT16,8,131
gene-CPED1|CPED1,102,48
gene-ING3|ING3,847,2201
gene-TSPAN12|TSPAN12,797,614
gene-LOC123356648|LOC123356648,1,12
gene-LSM8|LSM8,118,1494
gene-LOC123362074|LOC123362074,0,5
gene-CFTR|CFTR,14,145
gene-LOC123375286|LOC123375286,2,9
gene-LOC123354251|LOC123354251,0,0
gene-LOC123378056|LOC123378056,972,1750
gene-LOC123357313|LOC123357313,0,0
gene-CTTNBP2|CTTNBP2,102,813
gene-ASZ1|ASZ1,0,1119
gene-LOC123364464|LOC123364464,2,5
gene-ST7|ST7,130,34
gene-CAPZA2|CAPZA2,872,1802
gene-MET|MET,2079,506
gene-LOC123376967|LOC123376967,0,0
gene-CAV2|CAV2,71,1377
gene-CAV1|CAV1,801,578
gene-LOC123376088|LOC123376088,2,0
gene-TES|TES,553,11122
gene-TFEC|TFEC,44,456
gene-LOC123343714|LOC123343714,0,0
gene-MDFIC|MDFIC,268,268
gene-PPP1R3A|PPP1R3A,4,650
gene-LOC123378022|LOC123378022,17,0
gene-FOXP2|FOXP2,69,512
gene-GPR85|GPR85,0,21
gene-SMIM30|SMIM30,6777,1685
gene-TMEM168|TMEM168,510,2462
gene-BMT2|BMT2,178,858
gene-LOC123362275|LOC123362275,9,193
gene-LOC123362277|LOC123362277,0,0
gene-IFRD1|IFRD1,1165,5992
gene-ZNF277|ZNF277,443,2889
gene-DOCK4|DOCK4,1529,1051
gene-LOC123362021|LOC123362021,0,139
gene-LOC123362020|LOC123362020,0,0
gene-DNAJB9|DNAJB9,259,2517
gene-THAP5|THAP5,58,2158
gene-PNPLA8|PNPLA8,533,1993
gene-IMMP2L|IMMP2L,57,186
gene-LRRN3|LRRN3,0,98
gene-LOC123360055|LOC123360055,3,40
gene-NRCAM|NRCAM,3048,534
gene-LOC123378295|LOC123378295,0,0
gene-LOC123354338|LOC123354338,0,0
gene-CNTN1|CNTN1,132,302
gene-PDZRN4|PDZRN4,5,357
gene-LOC123378407|LOC123378407,32,13
gene-LOC123378424|LOC123378424,0,0
gene-GXYLT1|GXYLT1,50,20
gene-LOC123378419|LOC123378419,33,17
gene-YAF2|YAF2,298,853
gene-LOC123361724|LOC123361724,0,0
gene-ADAMTS20|ADAMTS20,8,147
gene-PUS7L|PUS7L,240,1267
gene-IRAK4|IRAK4,316,235
gene-TWF1|TWF1,100,3013
gene-ZCRB1|ZCRB1,1063,4146
gene-PPHLN1|PPHLN1,638,1619
gene-PRICKLE1|PRICKLE1,84,673
gene-DBX2|DBX2,9,576
gene-LOC123361335|LOC123361335,7,17
gene-NELL2|NELL2,0,175
gene-ANO6|ANO6,225,101
gene-LOC123362318|LOC123362318,0,0
gene-LOC123378552|LOC123378552,36,11
gene-TMEM117|TMEM117,170,102
gene-ARID2|ARID2,757,1979
gene-SLC38A1|SLC38A1,11,0
gene-SCAF11|SCAF11,1837,6753
gene-SLC38A2|SLC38A2,1445,311
gene-LOC123378616|LOC123378616,19,0
gene-LOC123378596|LOC123378596,106,0
gene-LOC123378610|LOC123378610,8,0
gene-AMIGO2|AMIGO2,52,372
gene-SLC38A4|SLC38A4,7191,12
gene-LRIG3|LRIG3,125,6458
gene-RPAP3|RPAP3,1159,2366
gene-ATP23|ATP23,271,3773
gene-LOC123356061|LOC123356061,10,0
gene-SLC16A7|SLC16A7,27,5
gene-LOC123361968|LOC123361968,18,0
gene-USP15|USP15,1972,528
gene-LOC123378769|LOC123378769,24,730
gene-LOC123356989|LOC123356989,1,1
gene-MON2|MON2,700,2959
gene-PPM1H|PPM1H,168,4015
gene-LOC123362316|LOC123362316,0,0
gene-RXYLT1|RXYLT1,526,1354
gene-LOC123378094|LOC123378094,12,588
gene-LOC123361762|LOC123361762,0,34
gene-KICS2|KICS2,87,2165
gene-LOC123378843|LOC123378843,0,0
gene-SRGAP1|SRGAP1,543,5340
gene-XPOT|XPOT,1210,1262
gene-LOC123362335|LOC123362335,0,1
gene-RPL18A|RPL18A,11778,2672
gene-LOC123343277|LOC123343277,0,0
gene-LOC123378174|LOC123378174,0,18
gene-TBK1|TBK1,511,645
gene-LOC123343283|LOC123343283,0,0
gene-RASSF3|RASSF3,83,1166
gene-LOC123378229|LOC123378229,0,0
gene-GNS|GNS,1847,6025
gene-TBC1D30|TBC1D30,250,4457
gene-WIF1|WIF1,212,584
gene-LEMD3|LEMD3,436,2745
gene-MSRB3|MSRB3,564,1160
