gene_id,SRR15315613,SRR15315614,SRR15315615,SRR15315619,SRR15315620,SRR15829334,SRR15829335,SRR15829337,SRR15829338
gene-LOC102461463|LOC102461463,708,604,272,247,682,2883,4292,2818,3352
gene-LOC102461871|LOC102461871,258,142,85,81,287,896,988,1176,953
gene-LOC102462333|LOC102462333,1873,2137,2119,3438,1145,147,218,384,120
gene-LOC102463061|LOC102463061,139,162,77,138,271,0,0,6,0
gene-LOC102462814|LOC102462814,400,219,219,224,196,0,0,0,0
gene-LOC102463792|LOC102463792,4,10,14,12,9,191,150,261,163
gene-LOC102463304|LOC102463304,28,21,58,57,45,489,604,732,402
gene-LOC102443475|LOC102443475,13,57,19,29,54,0,0,10,0
gene-LOC112544731|LOC112544731,21,52,37,19,33,13,43,106,54
gene-LOC106731529|LOC106731529,0,0,51,0,51,111,97,214,191
gene-LOC102444119|LOC102444119,334,406,21,9,782,172,99,61,0
gene-WNT3|WNT3,100,44,85,51,108,0,0,0,0
gene-MEIOC|MEIOC,53,64,147,48,61,0,4,0,0
gene-LOC102445638|LOC102445638,15,3,11,7,3,0,0,0,0
gene-LOC106731530|LOC106731530,0,0,0,0,0,0,0,0,0
gene-LOC102445873|LOC102445873,17,10,12,0,0,0,0,0,0
gene-NSF|NSF,2530,2096,1517,2038,2852,448,253,364,170
gene-LOC112544732|LOC112544732,33,27,14,19,9,17,11,15,4
gene-LOC102446572|LOC102446572,140,122,67,171,139,31,84,61,84
gene-LOC102446337|LOC102446337,1663,1660,919,1543,2149,40,125,86,67
gene-LOC102446982|LOC102446982,97,72,84,42,104,64,93,116,89
gene-PIH1D1|PIH1D1,1003,1397,884,1579,1079,315,488,516,505
gene-SLC17A7|SLC17A7,138,66,53,82,60,0,3,0,0
gene-DHDH|DHDH,84,104,45,74,63,444,671,867,730
gene-LOC102448162|LOC102448162,6,7,0,0,19,171,294,300,33
gene-LOC102448631|LOC102448631,19,52,32,38,54,39701,32404,52940,34873
gene-LOC112544737|LOC112544737,11,10,0,7,4,11,77,12,60
gene-LOC112544738|LOC112544738,0,8,15,6,2,6989,5576,8959,6368
gene-LOC102448873|LOC102448873,7,0,0,0,0,0,0,0,0
gene-HSD17B14|HSD17B14,669,366,558,564,473,1034,5303,3187,4131
gene-LOC112544733|LOC112544733,57,19,23,20,18,171,200,362,187
gene-LOC112544739|LOC112544739,0,0,0,0,0,0,0,0,0
gene-LOC112544735|LOC112544735,0,0,0,0,1,0,0,1,0
gene-LOC112544736|LOC112544736,0,2,0,0,3,0,1,3,2
gene-RPL13A|RPL13A,56208,53463,50096,81686,51474,13588,30202,20485,16579
gene-LOC112544734|LOC112544734,3,2,4,5,3,3,5,2,2
gene-LOC102449994|LOC102449994,18,17,41,18,16,13,52,0,7
gene-APLP2|APLP2,20175,18617,21979,19874,22862,29401,34729,42300,48275
gene-CHEK1|CHEK1,3230,2778,3750,4084,3738,27,22,34,16
gene-EI24|EI24,876,899,658,749,1175,214,188,280,121
gene-LOC102451487|LOC102451487,314,341,334,981,673,0,0,12,0
gene-LOC102451639|LOC102451639,174,60,134,66,101,7,0,0,0
gene-STT3A|STT3A,10586,9960,8636,11853,10947,14616,9561,5701,6231
gene-SLC10A3|SLC10A3,153,151,147,202,186,42,49,55,74
gene-FAM3A|FAM3A,3941,4467,3113,4803,3568,3644,5263,4480,4521
gene-LOC106731535|LOC106731535,0,0,9,27,8,0,0,0,0
gene-LOC102453727|LOC102453727,0,4,0,0,0,26,15,74,104
gene-LOC102453489|LOC102453489,0,0,0,0,0,2,95,75,10
gene-R3HDM2|R3HDM2,362,400,524,420,438,372,228,356,280
gene-LOC106731536|LOC106731536,607,460,604,662,549,242,283,303,178
gene-LOC102454202|LOC102454202,730,578,229,354,829,210,177,430,283
gene-LOC102455534|LOC102455534,108,109,36,44,146,30,26,24,14
gene-KCTD19|KCTD19,632,202,253,276,237,13,12,15,34
gene-LOC102454445|LOC102454445,889,548,592,536,672,25,32,23,5
gene-EXTL3|EXTL3,335,251,149,121,297,696,540,757,632
gene-FBXO16|FBXO16,152,122,49,44,162,0,0,0,0
gene-FZD3|FZD3,4811,3382,3028,2864,3633,137,66,234,140
gene-ELP3|ELP3,2608,2552,2000,2319,2664,651,563,444,496
gene-LOC102457094|LOC102457094,1926,2221,1472,2531,2855,15,22,25,16
gene-PNOC|PNOC,107,74,14,32,90,0,0,0,0
gene-ZNF395|ZNF395,358,506,1536,575,477,460,156,251,329
gene-LOC102462815|LOC102462815,0,28,6,8,40,16,41,33,44
gene-LOC112544743|LOC112544743,0,0,0,0,0,0,0,0,0
gene-DNAJC27|DNAJC27,1207,1131,623,1256,1401,163,135,250,255
gene-LOC112544744|LOC112544744,0,0,6,0,0,0,0,0,0
gene-CENPO|CENPO,865,1510,539,1023,954,59,27,132,68
gene-NCOA1|NCOA1,1292,1004,1594,1184,1685,3802,4031,3653,3208
gene-LOC106731538|LOC106731538,1153,643,604,1295,917,412,592,409,298
gene-PTRHD1|PTRHD1,641,809,646,860,790,192,216,171,156
gene-ADCY3|ADCY3,330,262,313,149,191,56,171,305,56
gene-POMC|POMC,114,45,32,108,130,0,0,0,0
gene-LOC102463539|LOC102463539,0,0,0,0,0,0,0,0,0
gene-EFR3B|EFR3B,669,497,539,442,580,261,476,554,405
gene-TRIM35|TRIM35,925,829,550,1271,890,668,748,628,481
gene-STMN4|STMN4,4596,2925,3177,4141,3199,0,0,0,0
gene-LOC106731539|LOC106731539,0,0,0,0,0,0,0,0,0
gene-PTK2B|PTK2B,288,312,248,359,278,696,1201,2385,1223
gene-CHRNA2|CHRNA2,909,1121,542,724,818,0,0,0,18
gene-EPHX2|EPHX2,737,612,244,291,672,339,223,502,470
gene-LOC102443800|LOC102443800,51,25,12,37,44,160,566,380,63
gene-LOC102444196|LOC102444196,137,72,146,120,89,158,455,410,153
gene-SLC1A3|SLC1A3,152,137,58,98,178,0,0,0,0
gene-SLFNL1|SLFNL1,7,12,2,0,0,0,0,0,0
gene-CTPS1|CTPS1,3422,3254,2120,2801,4378,660,385,582,272
gene-LOC112544747|LOC112544747,0,0,0,0,0,0,0,0,0
gene-LOC112544748|LOC112544748,0,0,0,0,0,0,0,0,0
gene-RANBP3L|RANBP3L,138,111,181,128,151,792,428,717,385
gene-LOC102446339|LOC102446339,0,17,13,27,0,36,574,232,464
gene-NADK2|NADK2,2217,2253,2970,2936,2883,1274,844,1396,1444
gene-SKP2|SKP2,1443,1367,1194,1581,1708,82,104,155,105
gene-LMBRD2|LMBRD2,1324,989,803,883,1336,906,508,637,498
gene-LOC102447241|LOC102447241,34,50,58,37,44,0,0,14,7
gene-LOC102447986|LOC102447986,44,36,36,65,53,31,52,50,83
gene-LOC102446816|LOC102446816,12345,12658,10644,80,9,1226,979,0,1111
gene-LOC106731540|LOC106731540,221,78,183,174,178,139,85,52,37
gene-FBLN7|FBLN7,420,410,253,369,403,6,0,11,9
gene-MERTK|MERTK,601,842,1326,1024,1284,243,72,321,158
gene-LOC102450468|LOC102450468,436,722,1227,974,998,182,51,270,120
gene-LOC102451172|LOC102451172,17,0,20,4,8,455,457,511,600
gene-LOC102451810|LOC102451810,0,7,0,0,35,81,19,83,45
gene-LOC102452053|LOC102452053,9,8,10,190,13,159,292,247,180
gene-LOC102451408|LOC102451408,56,69,21,53,47,292,91,1317,184
gene-BCL2L11|BCL2L11,346,176,169,137,231,161,112,147,178
gene-ANAPC1|ANAPC1,3101,2049,1798,2423,2702,633,570,1074,788
gene-NXPE3|NXPE3,1235,900,768,1146,1101,372,515,569,301
gene-NFKBIZ|NFKBIZ,354,257,205,560,398,3037,2547,6786,10724
gene-ZPLD1|ZPLD1,14,0,0,0,7,0,0,0,0
gene-LOC112544761|LOC112544761,21,0,0,0,0,0,0,9,23
gene-ALCAM|ALCAM,5687,6397,8269,9537,7479,612,611,861,778
gene-LOC102453968|LOC102453968,92,114,83,189,143,0,0,5,0
gene-CBLB|CBLB,1777,2073,2689,2263,2499,138,97,193,194
gene-BBX|BBX,142,87,99,31,174,31,13,16,15
gene-CD47|CD47,4537,4033,3800,4528,4556,1866,2017,1930,2058
gene-HHLA2|HHLA2,74,25,57,26,73,40,70,150,124
gene-IFT57|IFT57,993,1153,1181,2416,1679,232,273,303,204
gene-MYH15|MYH15,1354,46,1256,332,1332,6,9,13,19
gene-LOC102445404|LOC102445404,4,0,0,0,0,8,5,9,9
gene-SH2D1B|SH2D1B,0,0,0,4,4,0,0,11,0
gene-CIP2A|CIP2A,3838,3517,4188,4418,5687,266,172,238,179
gene-LOC112544753|LOC112544753,8,0,0,18,6,0,0,0,4
gene-GUCA1C|GUCA1C,3,0,0,7,3,0,0,0,0
gene-MORC1|MORC1,102,60,119,95,95,191,134,106,146
gene-CUNH3orf85|CUNH3orf85,442,388,184,134,546,14456,10091,6965,5603
gene-LOC102445642|LOC102445642,63,43,78,184,124,59,40,99,92
gene-HJURP|HJURP,2786,2458,2131,4587,3335,0,14,11,18
gene-LOC112544754|LOC112544754,13,8,0,0,6,0,0,0,0
gene-PLCXD2|PLCXD2,8,15,0,4,4,22,64,20,34
gene-CD96|CD96,9,0,6,0,17,13,11,65,19
gene-NECTIN3|NECTIN3,4968,3429,4097,5209,5008,122,139,142,95
gene-PHLDB2|PHLDB2,2908,2325,2544,3116,3138,239,251,383,86
gene-LOC112544757|LOC112544757,0,0,0,0,0,0,0,0,0
gene-LOC102458592|LOC102458592,16,12,0,4,7,0,0,0,0
gene-LOC106731542|LOC106731542,143,71,44,205,88,47,85,65,36
gene-ABHD10|ABHD10,1462,1163,1035,1797,1391,244,121,248,207
gene-TMPRSS7|TMPRSS7,13,16,33,0,36,0,15,24,15
gene-LOC102460566|LOC102460566,30,0,17,15,41,0,0,0,0
gene-CUNH3orf52|CUNH3orf52,215,81,123,93,117,0,0,0,11
gene-LOC102460803|LOC102460803,149,78,0,123,69,8,16,30,7
gene-LOC102447564|LOC102447564,3,18,13,11,11,8,0,27,0
gene-LOC112544758|LOC112544758,15,2,35,30,40,9,6,26,8
gene-LOC102461213|LOC102461213,132,164,142,145,178,8,13,27,40
gene-TAGLN3|TAGLN3,4134,3262,2865,4667,3448,344,469,539,1462
gene-LOC102461625|LOC102461625,326,247,248,377,366,516,272,789,149
gene-ZNF654|ZNF654,667,457,383,244,624,164,84,177,134
gene-CGGBP1|CGGBP1,248,218,110,197,241,89,128,156,51
gene-CUNH3orf38|CUNH3orf38,1005,752,573,1208,1037,287,241,182,208
gene-LOC112544763|LOC112544763,0,0,0,0,8,0,0,0,0
gene-EPHA3|EPHA3,1796,1232,958,1001,2159,0,0,0,0
gene-PROS1|PROS1,1588,1118,1901,2095,1854,9488,6509,9584,12863
gene-LOC112544759|LOC112544759,11,0,0,0,0,0,0,0,0
gene-LOC106731543|LOC106731543,14,0,2,4,2,15,21,33,20
gene-ARL13B|ARL13B,1229,1065,891,1275,1998,463,231,428,283
gene-STX19|STX19,72,16,51,63,52,0,0,4,0
gene-NSUN3|NSUN3,1362,923,721,1243,1145,248,360,225,258
gene-LOC112544765|LOC112544765,0,0,0,0,0,0,0,0,0
gene-LOC102449662|LOC102449662,0,0,0,0,0,0,0,0,0
gene-LOC102450141|LOC102450141,15,0,0,0,0,0,4,0,0
gene-LOC102449909|LOC102449909,0,0,0,0,0,0,0,0,0
gene-LOC102450613|LOC102450613,8,23,0,0,0,10,0,4,0
gene-KLK8|KLK8,120,117,75,102,136,154,608,272,130
gene-LOC112544760|LOC112544760,0,0,0,0,0,0,0,0,0
gene-EPHA6|EPHA6,16,11,7,14,12,0,0,0,0
gene-LOC102450848|LOC102450848,318,384,137,122,375,494,310,594,545
gene-LOC106731549|LOC106731549,270,224,151,249,274,43,13,32,19
gene-LOC102448706|LOC102448706,196,229,148,134,129,38,69,60,13
gene-LOC106731550|LOC106731550,35,34,8,25,22,0,13,0,0
gene-LOC102452544|LOC102452544,3,3,0,0,0,0,0,0,0
gene-LOC102453574|LOC102453574,6,0,0,0,0,0,193,0,0
gene-CCDC36|CCDC36,117,40,36,226,110,23,32,33,59
gene-LOC102455044|LOC102455044,0,0,0,4,11,0,0,0,0
gene-LOC112543501|LOC112543501,381,297,491,404,243,97,216,109,81
gene-LOC112544770|LOC112544770,3,0,0,9,0,0,0,0,0
gene-LOC106731552|LOC106731552,11,0,0,4,0,0,0,0,0
gene-LOC112544769|LOC112544769,138,127,97,94,121,18,7,12,11
gene-LOC102454785|LOC102454785,352,144,154,192,450,9,0,22,13
gene-BAG5|BAG5,333,297,355,276,634,63,25,21,36
gene-APOPT1|APOPT1,2347,2342,2363,3054,3125,390,394,497,304
gene-KLC1|KLC1,6456,3779,4669,6066,5195,213,193,221,111
gene-XRCC3|XRCC3,351,323,236,476,361,0,6,0,0
gene-LOC112544774|LOC112544774,191,147,78,230,159,0,12,15,0
gene-PPP1R13B|PPP1R13B,2639,1847,2459,2757,2434,525,531,657,516
gene-ZFYVE21|ZFYVE21,933,813,894,1111,985,750,713,734,617
gene-TDRD9|TDRD9,105,90,78,183,114,30,21,52,0
gene-LOC112544775|LOC112544775,0,0,5,0,0,0,0,7,0
gene-ASPG|ASPG,462,418,274,488,649,180,78,273,201
gene-LOC106731553|LOC106731553,3,4,0,0,0,0,0,0,0
gene-KIF26A|KIF26A,1197,2199,2139,1558,2912,27,18,62,8
gene-MAPKAP1|MAPKAP1,2749,2468,2468,3100,3347,758,702,810,591
gene-LOC102448634|LOC102448634,7,0,0,3,0,0,0,0,0
gene-LOC112544780|LOC112544780,0,0,0,0,0,0,0,0,0
gene-LRRC55|LRRC55,158,61,19,22,61,0,0,4,0
gene-PBX3|PBX3,4251,3231,4796,4640,3810,50,29,94,25
gene-LOC102463720|LOC102463720,0,379,88,149,398,65,25,105,10
gene-LOC112544779|LOC112544779,975,1184,529,1166,1124,137,74,229,28
gene-LOC102463971|LOC102463971,112,123,90,121,131,291,227,551,129
gene-LOC102450075|LOC102450075,60,90,21,35,90,35,13,50,6
gene-TNKS1BP1|TNKS1BP1,1906,1486,1490,571,714,1268,1184,1605,1367
gene-LOC102443647|LOC102443647,254,209,169,905,1097,534,360,512,600
gene-LOC102450545|LOC102450545,0,0,9,0,0,0,0,0,0
gene-LOC102450769|LOC102450769,0,0,0,0,0,0,0,0,0
gene-LOC102451008|LOC102451008,262,208,139,149,249,219,66,158,102
gene-DAPK2|DAPK2,152,92,114,143,134,36,75,69,17
gene-TBC1D2B|TBC1D2B,1228,1101,785,1172,1623,298,236,229,234
gene-SH2D7|SH2D7,120,39,27,157,135,35,0,20,44
gene-SSRP1|SSRP1,15632,17213,13086,17745,19610,3926,4402,4632,4013
gene-P2RX3|P2RX3,453,448,412,573,394,0,0,0,0
gene-ACSBG1|ACSBG1,996,221,683,449,609,3592,5149,6221,8846
gene-LOC106731554|LOC106731554,6,0,3,4,0,8,0,0,15
gene-CIB2|CIB2,113,76,45,121,59,0,0,0,0
gene-IDH3A|IDH3A,4539,3485,3247,5166,4082,351,227,402,362
gene-WDR61|WDR61,1805,1530,1419,1900,2033,326,265,261,338
gene-DNAJA4|DNAJA4,1971,2064,1606,2581,2727,244,318,280,323
gene-CRABP1|CRABP1,5537,2961,3577,4941,3482,0,0,0,0
gene-KIF1A|KIF1A,5647,3607,2217,2711,3042,34,27,32,24
gene-ERFE|ERFE,39,23,11,15,17,0,0,0,0
gene-ILKAP|ILKAP,1434,1248,1153,1739,1215,295,364,431,255
gene-LOC112544785|LOC112544785,4,0,0,0,0,0,0,0,0
gene-SEL1L|SEL1L,598,505,311,379,795,224,84,174,63
gene-STON2|STON2,4326,3211,4179,4313,5047,966,822,1233,891
gene-LOC106731555|LOC106731555,792,515,796,934,521,72,189,123,79
gene-LOC102456446|LOC102456446,1563,964,1486,1926,1069,904,1114,1309,1530
gene-LOC106731556|LOC106731556,48,36,14,33,50,0,6,0,0
gene-IQGAP1|IQGAP1,8261,8762,9169,10738,12215,700,743,1261,729
gene-LOC112544787|LOC112544787,7,0,0,0,0,0,0,0,0
gene-TUBGCP4|TUBGCP4,1451,1510,1402,2003,1984,293,265,385,369
gene-TP53BP1|TP53BP1,14486,12825,8991,13029,15128,2210,1608,3459,2140
gene-MAP1A|MAP1A,2781,1840,706,926,1883,142,107,246,252
gene-RNF180|RNF180,83,55,25,49,62,32,17,20,6
gene-PPIP5K1|PPIP5K1,1106,816,679,632,866,540,640,731,624
gene-RGS7BP|RGS7BP,750,580,496,875,773,0,0,0,0
gene-LOC102460411|LOC102460411,1053,763,1054,1788,1178,153,216,234,104
gene-LOC106731557|LOC106731557,0,0,0,0,0,0,0,0,0
gene-CWC27|CWC27,2855,2518,3166,3878,3465,680,594,681,622
gene-ADAMTS6|ADAMTS6,725,469,774,838,468,19,10,23,9
gene-CENPK|CENPK,1464,1416,1378,2347,2011,0,0,0,0
gene-PPWD1|PPWD1,2692,2320,2049,3740,3078,376,375,428,399
gene-LOC102444120|LOC102444120,71,57,14,23,104,0,0,0,0
gene-LOC102445553|LOC102445553,0,8,0,70,14,0,0,0,0
gene-LOC102445297|LOC102445297,682,341,442,362,324,18,0,12,0
gene-LOC102462003|LOC102462003,0,0,0,0,0,0,0,2,0
gene-LOC102463139|LOC102463139,315,302,261,447,362,262,102,210,226
gene-SGTB|SGTB,461,349,418,584,570,30,12,18,18
gene-TRIM23|TRIM23,2402,1976,2790,2557,2376,2316,1810,2164,1691
gene-TRAPPC13|TRAPPC13,944,774,1146,1310,938,373,336,466,287
gene-NLN|NLN,426,458,298,364,601,11,0,25,0
gene-LOC102445795|LOC102445795,1993,2139,1256,1731,2172,0,0,0,11
gene-PPP1R16B|PPP1R16B,63,31,26,18,40,0,8,4,0
gene-ADIG|ADIG,22,3,14,15,7,150,238,119,77
gene-ARHGAP40|ARHGAP40,80,71,69,58,134,47,31,24,36
gene-ACTR5|ACTR5,3860,4080,2821,4405,4687,1002,1132,972,795
gene-SLC32A1|SLC32A1,514,184,217,246,300,0,0,0,3
gene-LOC106731559|LOC106731559,13,0,5,0,5,0,0,0,0
gene-NXPH2|NXPH2,153,126,134,174,122,0,0,0,0
gene-SPOPL|SPOPL,977,853,1428,1419,1418,295,297,288,393
gene-LOC102456114|LOC102456114,160,88,86,80,146,0,0,0,0
gene-LOC106731562|LOC106731562,243,100,238,231,216,0,0,0,0
gene-LOC112544788|LOC112544788,6,2,0,0,0,0,0,0,3
gene-HNMT|HNMT,287,181,85,89,251,984,577,885,1136
gene-LOC112544789|LOC112544789,4,0,0,0,0,0,0,0,0
gene-LOC102449996|LOC102449996,0,0,0,4,4,0,0,0,0
gene-THSD7B|THSD7B,518,362,465,577,551,32,0,0,0
gene-CXCR4|CXCR4,2356,1926,2826,2581,2591,324,141,354,232
gene-DARS|DARS,6433,4980,5505,6896,6068,1666,1350,1464,1332
gene-MCM6|MCM6,5325,6006,4598,6983,8125,98,88,147,138
gene-LCT|LCT,884,972,1138,1562,907,685,778,857,506
gene-UBXN4|UBXN4,3879,3384,2888,3908,4298,2968,2137,2288,1947
gene-R3HDM1|R3HDM1,1905,1328,2061,2763,1757,197,202,457,270
gene-ZRANB3|ZRANB3,998,703,736,1496,1505,45,53,89,56
gene-RAB3GAP1|RAB3GAP1,3172,2754,3010,3618,3209,555,546,978,761
gene-ACMSD|ACMSD,395,279,184,196,411,2113,2594,2036,2827
gene-MAP3K19|MAP3K19,199,106,121,147,144,36,42,45,49
gene-CCNT2|CCNT2,2902,2195,2691,3854,2890,346,417,738,553
gene-TMEM163|TMEM163,1106,524,830,692,565,74,13,20,0
gene-MARCH11|MARCH11,16,30,40,29,0,0,0,0,0
gene-LOC112544796|LOC112544796,13,15,50,43,40,0,0,0,0
gene-MGAT5|MGAT5,1060,736,1035,1012,1027,1494,748,352,164
gene-DNAH5|DNAH5,531,237,293,367,336,0,0,0,0
gene-OTULINL|OTULINL,271,216,338,638,433,54,114,243,101
gene-LOC112544793|LOC112544793,7,0,13,18,6,15,8,60,34
gene-LOC112544792|LOC112544792,0,0,0,0,0,0,0,0,0
gene-TRIO|TRIO,3219,2299,2903,3050,3174,534,552,934,658
gene-OTULIN|OTULIN,2950,3524,2005,3626,3253,464,694,787,417
gene-ANKH|ANKH,308,377,337,341,463,89,80,98,148
gene-LOC112544794|LOC112544794,0,0,0,0,0,0,0,0,6
gene-LOC112544795|LOC112544795,21,36,19,28,19,7,0,0,5
gene-LOC112544810|LOC112544810,15,0,3,23,6,0,0,0,0
gene-PROSER2|PROSER2,130,149,181,137,349,29,52,28,7
gene-FBXL7|FBXL7,413,551,365,548,591,132,190,299,386
gene-UPF2|UPF2,2054,1563,1770,1768,2768,357,246,444,278
gene-DHTKD1|DHTKD1,1674,1578,1277,1454,1700,3950,3730,5679,5167
gene-SEC61A2|SEC61A2,2956,1866,2102,2842,2567,629,715,1743,680
gene-CCDC3|CCDC3,292,699,513,625,726,0,0,6,0
gene-OPTN|OPTN,991,1113,1195,1777,1689,879,984,1237,972
gene-UCMA|UCMA,0,0,0,0,3,0,0,0,0
gene-LOC112544812|LOC112544812,0,0,0,0,0,0,0,0,0
gene-CAMK1D|CAMK1D,75,75,71,58,105,0,0,0,0
gene-NUDT5|NUDT5,4878,5085,3663,7041,5625,1074,1124,1449,897
gene-CDC123|CDC123,2640,2303,2589,2838,2821,539,403,773,382
gene-MCM10|MCM10,1434,1318,948,1358,1816,8,9,9,0
gene-PHYH|PHYH,1269,1255,1320,1180,2208,1402,1359,2357,1796
gene-BEND7|BEND7,565,458,561,551,694,835,808,1102,572
gene-SEPHS1|SEPHS1,7641,7218,7226,9980,10699,478,564,872,601
gene-PRPF18|PRPF18,2635,2253,2468,3570,2616,1129,1026,1387,891
gene-LOC112544798|LOC112544798,3,0,0,0,0,0,0,0,0
gene-FRMD4A|FRMD4A,948,917,764,465,1056,72,56,124,30
gene-CDNF|CDNF,6,0,0,0,4,0,51,31,62
gene-FAM107B|FAM107B,2221,2621,2066,2405,2962,403,328,631,494
gene-LOC112544801|LOC112544801,0,0,0,0,0,0,0,0,0
gene-HSPA14|HSPA14,1531,1392,1406,2023,1789,304,269,319,236
gene-SUV39H2|SUV39H2,2650,2671,1958,2493,3410,43,151,168,227
gene-DCLRE1C|DCLRE1C,456,316,153,425,216,243,242,261,333
gene-LOC112544813|LOC112544813,1,0,0,0,0,0,0,0,1
gene-MEIG1|MEIG1,545,369,283,261,495,10,11,8,9
gene-TMEM243|TMEM243,510,548,301,757,504,29,30,53,55
gene-DMTF1|DMTF1,747,391,373,596,475,258,175,246,260
gene-KIAA1324L|KIAA1324L,156,114,17,25,77,0,0,0,0
gene-LOC112544803|LOC112544803,0,0,0,0,0,0,0,0,0
gene-GRM3|GRM3,666,697,391,652,625,0,0,0,0
gene-LOC112544804|LOC112544804,4,0,0,0,0,0,0,0,0
gene-LOC102448637|LOC102448637,0,0,6,0,0,0,0,0,0
gene-SEMA3D|SEMA3D,693,487,453,485,625,0,11,26,0
gene-LOC112544807|LOC112544807,0,0,6,0,0,0,0,0,0
gene-SEMA3E|SEMA3E,58,81,26,40,58,0,0,0,0
gene-SEMA3A|SEMA3A,2447,2290,3147,2952,4051,4,0,12,0
gene-LOC112544811|LOC112544811,0,0,0,0,0,0,0,0,0
gene-PCLO|PCLO,435,304,355,190,344,0,0,0,0
gene-HGF|HGF,70,39,55,26,81,88,67,133,42
gene-LOC106731564|LOC106731564,17,0,3,13,0,0,0,0,0
gene-CACNA2D1|CACNA2D1,3627,1849,3459,3867,2775,107,36,52,26
gene-CD36|CD36,126,74,72,102,146,9327,8753,6190,10408
gene-SEMA3C|SEMA3C,3893,3049,3853,4190,4267,10,25,138,6
gene-GNAI1|GNAI1,1215,1301,1434,1221,2219,148,71,300,120
gene-LOC112544815|LOC112544815,0,0,0,0,0,0,0,0,0
gene-PHTF2|PHTF2,1202,977,1174,1498,1205,157,99,77,96
gene-TMEM60|TMEM60,1671,2125,1777,2384,2373,755,954,670,595
gene-MAGI2|MAGI2,766,500,700,801,506,21,19,30,0
gene-LOC112544809|LOC112544809,2,0,0,0,0,0,0,0,0
gene-LOC112544808|LOC112544808,0,0,0,0,0,0,0,0,0
gene-LOC102463142|LOC102463142,23,33,31,13,34,0,0,0,0
gene-DRC7|DRC7,73,36,88,81,125,0,0,0,0
gene-LOC102462165|LOC102462165,45,6,13,16,17,2,0,0,0
gene-LOC102460568|LOC102460568,235,194,296,283,423,3,9,7,8
gene-LOC102462412|LOC102462412,23,24,43,39,21,0,0,0,10
gene-LOC102462653|LOC102462653,355,413,475,436,361,72,95,32,69
gene-ADGRG5|ADGRG5,24,14,14,22,0,30,36,78,47
gene-ADGRG1|ADGRG1,178,117,118,150,227,42,116,143,55
gene-CCDC102A|CCDC102A,2377,2024,1431,1979,2052,102,141,156,185
gene-DOK4|DOK4,972,860,323,608,507,22,53,62,126
gene-POLR2C|POLR2C,4599,5042,4410,6249,5232,2775,4304,4278,2757
gene-COQ9|COQ9,6741,6381,4667,7329,6535,1990,1956,2193,2352
gene-CIAPIN1|CIAPIN1,4407,4471,4290,4991,4334,1014,935,1124,372
gene-LOC102444200|LOC102444200,30,27,49,3,31,2869,888,769,1522
gene-CABLES1|CABLES1,600,581,464,783,645,155,305,317,455
gene-TMEM241|TMEM241,449,344,380,593,370,1089,1093,465,454
gene-RIOK3|RIOK3,3106,3009,3037,2706,3257,2748,1888,3198,2379
gene-ANKRD29|ANKRD29,1109,1616,1117,1184,1259,188,313,86,124
gene-LOC102446106|LOC102446106,0,7,13,20,16,0,0,0,0
gene-RMC1|RMC1,2018,1564,1798,2585,2004,635,597,698,527
gene-NPC1|NPC1,3457,3611,3633,4067,4563,1485,1550,1540,1664
gene-LAMA3|LAMA3,186,418,630,579,349,223,350,1171,769
gene-TRIM29|TRIM29,6,11,11,14,24,0,0,0,0
gene-CABYR|CABYR,234,107,133,204,125,51,49,61,44
gene-TTC39C|TTC39C,1236,1018,1010,1332,1651,211,140,289,389
gene-NECTIN1|NECTIN1,574,447,167,202,481,71,50,126,150
gene-LOC102452366|LOC102452366,10,0,6,5,13,0,0,0,0
gene-HSPB1|HSPB1,801,726,903,1204,961,0,18,16,0
gene-SSC4D|SSC4D,42,30,22,7,39,0,0,0,0
gene-YWHAG|YWHAG,2851,1896,539,955,2218,130,81,100,173
gene-LOC106731569|LOC106731569,0,0,0,0,0,0,0,0,0
gene-LOC102453127|LOC102453127,157,143,121,170,211,0,0,0,0
gene-LOC102453390|LOC102453390,189,111,165,333,176,0,0,0,0
gene-DTX2|DTX2,1126,880,814,1051,1042,459,592,599,553
gene-LOC102451490|LOC102451490,669,483,388,463,365,169,198,202,78
gene-CUNH11orf65|CUNH11orf65,309,101,216,351,229,0,0,0,0
gene-KDELC2|KDELC2,790,821,939,717,946,545,588,544,374
gene-LOC102453643|LOC102453643,1024,1337,1143,1994,1622,361,276,397,341
gene-LRWD1|LRWD1,7138,6453,6526,7052,7495,2419,1896,2057,1801
gene-ALKBH4|ALKBH4,545,507,409,1091,523,124,239,227,165
gene-LOC102454608|LOC102454608,10,0,0,0,0,0,0,0,0
gene-CUNH11orf87|CUNH11orf87,95,101,84,95,81,0,0,0,0
gene-DDX10|DDX10,2932,3367,2497,4269,3926,278,318,470,322
gene-ZC3H12C|ZC3H12C,1222,819,1107,1474,1066,84,127,177,121
gene-FDX1|FDX1,146,223,315,361,203,117,90,116,69
gene-LOC112544820|LOC112544820,3,0,0,0,10,14,8,9,7
gene-RDX|RDX,5195,5229,4341,5573,6715,944,955,1607,1247
gene-ARHGAP20|ARHGAP20,920,555,923,1091,849,82,82,284,83
gene-RNF17|RNF17,80,83,60,62,30,0,0,0,0
gene-PARP4|PARP4,345,238,288,452,325,81,94,137,114
gene-CENPJ|CENPJ,1304,943,1222,2849,1465,35,37,69,56
