gene_id,SRR15315613,SRR15315614,SRR15315615,SRR15315619,SRR15315620,SRR15829334,SRR15829335,SRR15829337,SRR15829338
gene-LOC102452171|LOC102452171,0,0,0,0,0,0,10,144,0
gene-GAPDHS|GAPDHS,16441,14051,12556,16974,13104,316,292,379,149
gene-TMEM147|TMEM147,1932,1637,1544,1875,1771,745,1084,1049,763
gene-LOC102452671|LOC102452671,10,0,4,0,0,0,0,32,0
gene-VARS2|VARS2,2393,2060,2012,2624,2196,319,363,510,306
gene-GTF2H4|GTF2H4,1201,1258,903,1396,1329,411,535,594,287
gene-LOC102452934|LOC102452934,3292,2673,3050,3103,3606,874,496,659,610
gene-LOC102453184|LOC102453184,982,666,356,889,986,329,682,899,243
gene-LOC102454246|LOC102454246,56,26,81,17,83,0,0,12,15
gene-LOC106732036|LOC106732036,48,88,88,30,56,18,12,66,33
gene-PRRG4|PRRG4,73,67,47,59,83,39,31,16,17
gene-LOC102455256|LOC102455256,0,4,0,7,12,0,0,0,0
gene-DEPDC7|DEPDC7,244,324,184,389,349,0,0,0,0
gene-QSER1|QSER1,1332,1462,1345,1195,1987,297,230,337,334
gene-TCP11L1|TCP11L1,710,586,855,1003,1012,96,126,124,39
gene-LOC102443930|LOC102443930,23,60,30,33,81,2955,2295,1396,1703
gene-CSTF3|CSTF3,3003,2523,2837,3683,3164,387,344,475,436
gene-TMEM109|TMEM109,826,887,409,646,1194,201,110,97,50
gene-PRPF19|PRPF19,7614,7405,5690,7336,8997,1908,2054,1778,1628
gene-SLC15A3|SLC15A3,6,7,0,0,8,98,0,70,27
gene-CD6|CD6,4,22,15,7,9,80,106,109,86
gene-TMEM132A|TMEM132A,5865,5523,3891,4549,5775,19,53,23,0
gene-LOC102457305|LOC102457305,4,6,11,21,12,159,31,96,31
gene-LOC112546735|LOC112546735,12,6,15,32,9,0,0,0,0
gene-VPS37C|VPS37C,1732,1127,657,1270,1169,599,529,560,511
gene-LOC102457985|LOC102457985,151,130,266,273,136,0,0,10,0
gene-VWCE|VWCE,590,417,412,544,600,0,6,0,0
gene-LOC102459027|LOC102459027,184,143,82,168,184,153,204,257,282
gene-TMEM138|TMEM138,1182,824,753,1015,740,473,354,248,289
gene-TMEM216|TMEM216,378,446,222,344,346,133,160,131,128
gene-LOC102446070|LOC102446070,102,14,33,115,25,24,13,22,18
gene-DDB1|DDB1,13119,13081,9370,12436,14517,6354,4745,6014,5383
gene-TKFC|TKFC,1452,1896,1402,2549,2132,1172,1912,2616,1529
gene-CPSF7|CPSF7,5623,5817,5309,5961,6318,1156,1438,1714,1407
gene-LOC106732336|LOC106732336,2,0,0,0,0,0,0,0,0
gene-PPP1R32|PPP1R32,66,36,53,39,49,0,0,0,0
gene-LRRC10B|LRRC10B,79,107,25,87,71,0,0,6,0
gene-SDHAF2|SDHAF2,1488,2054,1766,3440,2010,942,1531,1033,754
gene-SYT7|SYT7,793,449,334,508,410,0,0,0,0
gene-DAGLA|DAGLA,75,28,22,15,27,44,40,54,102
gene-LOC106732184|LOC106732184,817,587,634,717,521,125,370,253,294
gene-MYRF|MYRF,766,586,361,358,718,1282,913,1271,1773
gene-TMEM258|TMEM258,3520,3814,3408,5382,4307,3469,3964,1397,1947
gene-FEN1|FEN1,4619,5343,3479,5397,5991,249,118,152,97
gene-LOC106732518|LOC106732518,4,0,0,0,0,0,0,0,0
gene-LOC102461017|LOC102461017,1172,881,327,525,734,0,0,0,3
gene-LOC102448275|LOC102448275,18,12,12,54,30,0,0,0,0
gene-TCN1|TCN1,15,5,0,14,0,10,153,183,87
gene-GIF|GIF,8,0,0,0,0,0,3,0,0
gene-MRPL16|MRPL16,2331,2419,1787,2079,1911,404,423,556,463
gene-STX3|STX3,1570,807,942,1007,747,140,190,215,79
gene-PATL1|PATL1,3615,3478,3037,3666,3894,1653,1537,1967,1722
gene-OSBP|OSBP,1621,1669,972,1312,2250,1485,895,822,850
gene-LOC102451140|LOC102451140,0,0,3,0,0,0,0,0,0
gene-PROB1|PROB1,10,6,7,6,11,0,0,0,0
gene-SPATA24|SPATA24,1292,1114,704,1356,1020,152,235,300,304
gene-LOC112547400|LOC112547400,14,2,6,5,9,4,1,3,4
gene-DNAJC18|DNAJC18,142,87,91,76,108,32,0,32,60
gene-TMEM173|TMEM173,19,13,179,12,25,14,0,20,13
gene-ECSCR|ECSCR,256,309,253,417,364,30,26,157,15
gene-LOC112547161|LOC112547161,0,0,0,0,0,0,0,0,0
gene-LOC112547168|LOC112547168,10,5,49,0,10,11,0,0,0
gene-UBE2D2|UBE2D2,6122,5854,5586,8921,6841,993,796,1107,959
gene-LOC112547183|LOC112547183,1737,1495,1514,2351,1476,421,595,600,388
gene-LOC112547239|LOC112547239,0,0,0,0,0,0,0,0,0
gene-CXXC5|CXXC5,2473,2487,3147,3264,3065,427,570,682,649
gene-PSD2|PSD2,618,499,284,271,405,0,0,0,0
gene-NRG2|NRG2,165,112,139,211,83,17,0,0,0
