gene_id,SRR11050679,SRR11647816,SRR11647817
gene-SANBR|SANBR,3429,0,0
gene-LOC121920312|LOC121920312,470,0,0
gene-LOC121920428|LOC121920428,30,0,0
gene-BCL11A|BCL11A,4710,0,8
gene-VRK2|VRK2,951,0,11
gene-FANCL|FANCL,534,0,0
gene-CCDC85A|CCDC85A,36,0,0
gene-EFEMP1|EFEMP1,192,0,9
gene-PNPT1|PNPT1,1259,0,29
gene-PPP4R3B|PPP4R3B,10391,9,213
gene-CFAP36|CFAP36,1275,0,14
gene-LOC121935223|LOC121935223,282,0,0
gene-MTIF2|MTIF2,990,0,18
gene-CCDC88A|CCDC88A,10051,6,18
gene-LOC121922407|LOC121922407,66,0,0
gene-LOC121922036|LOC121922036,72,0,0
gene-CLHC1|CLHC1,4496,0,33
gene-RPS27A|RPS27A,15615,20,357
gene-RTN4|RTN4,4274,10,89
gene-EML6|EML6,1085,0,24
gene-C1H2orf73|C1H2orf73,227,0,0
gene-LOC121920050|LOC121920050,0,0,0
gene-SPTBN1|SPTBN1,3475,0,374
gene-ACYP2|ACYP2,2628,0,4
gene-LOC121915663|LOC121915663,331,0,0
gene-PSME4|PSME4,3035,6,124
gene-LOC121921916|LOC121921916,36,0,0
gene-LOC121927330|LOC121927330,31,0,0
gene-GPR75|GPR75,39,0,8
gene-LOC121920119|LOC121920119,0,0,0
gene-CHAC2|CHAC2,163,0,4
gene-LOC121928926|LOC121928926,34,0,3
gene-ERLEC1|ERLEC1,2772,10,50
gene-ASB3|ASB3,1206,0,7
gene-LOC121932580|LOC121932580,2,0,0
gene-FSHR|FSHR,521,0,0
gene-NRXN1|NRXN1,219,0,12
gene-LOC121924165|LOC121924165,996,3,30
gene-PPP1R21|PPP1R21,2344,12,67
gene-FOXN2|FOXN2,1099,0,29
gene-KCNK12|KCNK12,18,0,0
gene-LOC121919872|LOC121919872,86,0,5
gene-FBXO11|FBXO11,5542,0,112
gene-MSH6|MSH6,22605,8,212
gene-MSH2|MSH2,10422,0,35
gene-VSX1|VSX1,20,0,0
gene-LOC121921217|LOC121921217,28,0,0
gene-LOC121935147|LOC121935147,1032,0,20
