gene-LOC114585524|LOC114585524,2060,2234
gene-LOC114585532|LOC114585532,176,949
gene-C1H14orf180|C1H14orf180,10,21
gene-LOC114584831|LOC114584831,0,4
gene-INF2|INF2,642,1510
gene-KIF26A|KIF26A,16,549
gene-ASPG|ASPG,35,6078
gene-TDRD9|TDRD9,0,35816
gene-RD3L|RD3L,12,23
gene-XRCC3|XRCC3,0,1561
gene-PPP1R13B|PPP1R13B,2573,13233
gene-ZFYVE21|ZFYVE21,1965,5449
gene-KLC1|KLC1,1684,25533
gene-LOC114584839|LOC114584839,10,17
gene-BAG5|BAG5,2440,9698
gene-LOC114581815|LOC114581815,2056,3477
gene-LOC114581876|LOC114581876,15,20
gene-TRMT61A|TRMT61A,969,1408
gene-CKB|CKB,447,352
gene-MARK3|MARK3,3665,7572
gene-TNFAIP2|TNFAIP2,450,12528
gene-EXOC3L4|EXOC3L4,127,39
gene-LBHD2|LBHD2,68,265
gene-AMN|AMN,0,1192
gene-TRAF3|TRAF3,25,933
gene-LOC114583844|LOC114583844,5,120
gene-LOC114583696|LOC114583696,0,243
gene-CDC42BPB|CDC42BPB,1451,16400
gene-RCOR1|RCOR1,511,4468
gene-LOC114585553|LOC114585553,0,264
gene-EIF5|EIF5,47019,44598
gene-LOC114585863|LOC114585863,2,12
gene-LOC114585559|LOC114585559,178,41
gene-ANKRD9|ANKRD9,45799,403
gene-TECPR2|TECPR2,8172,9126
gene-CINP|CINP,1661,2566
gene-ZNF839|ZNF839,1363,4179
gene-TRNAI-AAU|TRNAI-AAU,0,0
gene-MOK|MOK,616,11195
gene-WDR20|WDR20,1026,5471
gene-HSP90AA1|HSP90AA1,12129,203519
gene-DIO3|DIO3,118,155
gene-PPP2R5C|PPP2R5C,4550,21209
gene-DYNC1H1|DYNC1H1,27475,76012
gene-DLK1|DLK1,168,204
gene-BEGAIN|BEGAIN,0,81
gene-WDR25|WDR25,103,1546
gene-SLC25A47|SLC25A47,267,298
gene-WARS|WARS,12101,3184
gene-SLC25A29|SLC25A29,1981,1567
gene-YY1|YY1,4994,10022
gene-EVL|EVL,2116,3764
gene-LOC114587979|LOC114587979,0,4
gene-LOC114588283|LOC114588283,18,75
gene-EML1|EML1,597,8482
gene-LOC114588390|LOC114588390,658,34
gene-HHIPL1|HHIPL1,123,233
gene-LOC114585577|LOC114585577,463,433
gene-CCDC85C|CCDC85C,24,2516
gene-CCNK|CCNK,6882,31608
gene-BCL11B|BCL11B,9,9265
gene-SETD3|SETD3,7781,17094
gene-VRK1|VRK1,1330,13224
gene-AK7|AK7,87,16520
gene-LOC114590152|LOC114590152,0,211
gene-PAPOLA|PAPOLA,4340,46114
gene-GSKIP|GSKIP,1821,9150
gene-BDKRB2|BDKRB2,106,181
gene-LOC114584856|LOC114584856,19,10
gene-ATG2B|ATG2B,1875,20203
gene-LOC114584862|LOC114584862,0,15
gene-SYNE3|SYNE3,172,208
gene-LOC114590599|LOC114590599,3,40
gene-CLMN|CLMN,35,2528
gene-GSC|GSC,134,0
gene-DICER1|DICER1,899,7838
gene-LOC114584879|LOC114584879,5,17
gene-SERPINA10|SERPINA10,96,13
gene-PPP4R4|PPP4R4,30,20118
gene-LOC114590645|LOC114590645,0,895
gene-DDX24|DDX24,942,4981
gene-LOC114596116|LOC114596116,117,55
gene-FAM181A|FAM181A,65,1906
gene-PRIMA1|PRIMA1,466,2300
gene-LOC114584905|LOC114584905,17,37
gene-UNC79|UNC79,16,447
gene-BTBD7|BTBD7,1546,24555
gene-UBR7|UBR7,1271,6808
gene-GON7|GON7,315,6902
gene-TMEM251|TMEM251,1634,2259
gene-CHGA|CHGA,6,79
gene-ITPK1|ITPK1,446,4739
gene-ASB2|ASB2,52559,808
gene-LOC114590807|LOC114590807,16,97
gene-SLC24A4|SLC24A4,5,218
gene-RIN3|RIN3,499,399
gene-LOC114590792|LOC114590792,0,11
gene-GOLGA5|GOLGA5,2596,5448
gene-LGMN|LGMN,20367,6932
gene-CPSF2|CPSF2,1949,26117
gene-NDUFB1|NDUFB1,5609,5319
gene-ATXN3|ATXN3,1601,5929
gene-TRIP11|TRIP11,1614,11619
gene-TC2N|TC2N,34,1640
gene-FBLN5|FBLN5,1443,1170
gene-LOC114602030|LOC114602030,0,26160
gene-CCDC88C|CCDC88C,170,1379
gene-GPR68|GPR68,40,33
gene-DGLUCY|DGLUCY,202,1616
gene-PPP4R3A|PPP4R3A,2504,8376
gene-RPS6KA5|RPS6KA5,122,1350
gene-TTC7B|TTC7B,864,12017
gene-NRDE2|NRDE2,434,4889
gene-CALM1|CALM1,19157,17091
gene-KCNK13|KCNK13,8,4782
gene-EFCAB11|EFCAB11,8,10873
gene-TDP1|TDP1,296,6307
gene-TTC8|TTC8,173,16065
gene-FOXN3|FOXN3,1745,5967
gene-LOC114591232|LOC114591232,0,11
gene-EML5|EML5,181,8616
gene-LOC114591251|LOC114591251,18,32
gene-ZC3H14|ZC3H14,1530,13710
gene-PSMC1|PSMC1,38286,25796
gene-GPR65|GPR65,23,6
gene-GALC|GALC,53,27119
gene-SPATA7|SPATA7,31,757
gene-PTPN21|PTPN21,1878,4673
gene-FLRT2|FLRT2,234,1088
gene-SEL1L|SEL1L,3559,15995
gene-DIO2|DIO2,282,4927
gene-CEP128|CEP128,344,7953
gene-ADCK1|ADCK1,57,2551
gene-TRNAA-UGC-3|TRNAA-UGC,0,0
gene-LOC114590994|LOC114590994,2,114
gene-STON2|STON2,32205,291
gene-GTF2A1|GTF2A1,29800,15918
gene-ISM2|ISM2,22,485
gene-LOC114591489|LOC114591489,0,18
gene-SPTLC2|SPTLC2,1210,10047
gene-SNW1|SNW1,6862,28161
gene-SLIRP|SLIRP,1802,1369
gene-ALKBH1|ALKBH1,253,1411
gene-AHSA1|AHSA1,7182,10070
gene-LOC114591630|LOC114591630,75,5726
gene-NOXRED1|NOXRED1,0,637
gene-SAMD15|SAMD15,4,1674
gene-LOC114591515|LOC114591515,203,8646
gene-VIPAS39|VIPAS39,1109,10947
gene-NGB|NGB,5,612
gene-POMT2|POMT2,394,8392
gene-GSTZ1|GSTZ1,1310,862
gene-TMEM63C|TMEM63C,350,8650
gene-IRF2BPL|IRF2BPL,2563,5668
gene-SWI5|SWI5,958,1765
gene-ANGEL1|ANGEL1,406,8804
gene-VASH1|VASH1,587,1966
gene-ESRRB|ESRRB,80,31
gene-GPATCH2L|GPATCH2L,756,4362
gene-LOC114591747|LOC114591747,15,1167
gene-IFT43|IFT43,1418,17611
gene-TGFB3|TGFB3,2148,1198
gene-ERG28|ERG28,130,2133
gene-LOC114591794|LOC114591794,2,482
gene-FLVCR2|FLVCR2,123,1028
gene-LOC114591809|LOC114591809,7,497
gene-JDP2|JDP2,156,1992
gene-TTLL5|TTLL5,1283,18929
gene-LOC114591825|LOC114591825,6,623
gene-FOS|FOS,1030,1880
gene-ZC2HC1C|ZC2HC1C,59,4095
gene-ACYP1|ACYP1,196,24774
gene-LOC114591848|LOC114591848,1897,14998
gene-MLH3|MLH3,577,4493
gene-EIF2B2|EIF2B2,1709,7456
gene-PGF|PGF,374,769
gene-RPS6KL1|RPS6KL1,304,1978
gene-TMED10|TMED10,11944,15704
gene-LOC114591841|LOC114591841,131,1773
gene-LOC114591843|LOC114591843,17483,25568
gene-LOC114585706|LOC114585706,1,2
gene-LOC114585661|LOC114585661,2,8
gene-LOC114585666|LOC114585666,2,10
gene-PROX2|PROX2,6,163
gene-DLST|DLST,19637,14712
gene-YLPM1|YLPM1,2960,23297
gene-FCF1|FCF1,1478,1998
gene-AREL1|AREL1,892,21862
gene-LTBP2|LTBP2,351,769
gene-NPC2|NPC2,6023,13941
gene-ISCA2|ISCA2,1589,8696
gene-LOC114592050|LOC114592050,0,171
gene-ABCD4|ABCD4,164,4619
gene-TRNAI-UAU|TRNAI-UAU,0,2
gene-LOC114592008|LOC114592008,11096,739
gene-LIN52|LIN52,2204,17959
gene-ENTPD5|ENTPD5,2930,13897
gene-COQ6|COQ6,2710,7271
gene-ALDH6A1|ALDH6A1,16368,11123
gene-BBOF1|BBOF1,228,7973
gene-FAM161B|FAM161B,628,1541
gene-ZNF410|ZNF410,4690,10511
gene-FBXO33|FBXO33,6242,3703
gene-MIA2|MIA2,2748,11010
gene-TRAPPC6B|TRAPPC6B,1039,11992
gene-PNN|PNN,7594,62741
gene-GEMIN2|GEMIN2,755,1663
gene-PROSER1|PROSER1,519,7587
gene-LOC114585700|LOC114585700,1,3
gene-LOC114592208|LOC114592208,368,975
gene-LOC114585678|LOC114585678,6,26
gene-LOC114585685|LOC114585685,1,2
gene-LOC114585691|LOC114585691,5,21
gene-CLEC14A|CLEC14A,586,3335
gene-SEC23A|SEC23A,6162,39135
gene-LOC114584944|LOC114584944,0,272
gene-LOC114592275|LOC114592275,0,1635
gene-MIPOL1|MIPOL1,211,2319
gene-LOC114592280|LOC114592280,1,1
gene-PAX9|PAX9,9,24
gene-SLC25A21|SLC25A21,124,497
gene-LOC114592323|LOC114592323,0,54
gene-LOC114592314|LOC114592314,0,1861
gene-LOC114592318|LOC114592318,0,676
gene-MBIP|MBIP,2940,7925
gene-BRMS1L|BRMS1L,962,3029
gene-RALGAPA1|RALGAPA1,1218,9499
gene-NFKBIA|NFKBIA,2441,2182
gene-PSMA6|PSMA6,10994,6082
gene-PRORP|PRORP,435,3741
gene-PPP2R3C|PPP2R3C,7261,11154
gene-FAM177A1|FAM177A1,1752,10105
gene-LOC114592551|LOC114592551,44,2415
gene-BAZ1A|BAZ1A,961,14459
gene-SRP54|SRP54,13456,25183
gene-LOC114592633|LOC114592633,6,1115
gene-SNX6|SNX6,1783,12355
gene-CFL2|CFL2,22674,10829
gene-EAPP|EAPP,1995,11591
gene-SPTSSA|SPTSSA,1505,12262
gene-EGLN3|EGLN3,258,883
gene-AKAP6|AKAP6,238,121
gene-LOC114592773|LOC114592773,118,274
gene-NPAS3|NPAS3,124,6617
gene-ARHGAP5|ARHGAP5,1941,13795
gene-NUBPL|NUBPL,244,2056
gene-DTD2|DTD2,219,1262
gene-HEATR5A|HEATR5A,674,5934
gene-LOC114585712|LOC114585712,0,2
gene-LOC114592928|LOC114592928,16,638
gene-HECTD1|HECTD1,27548,22195
gene-COCH|COCH,664,2902
gene-LOC114594777|LOC114594777,35,2990
gene-STRN3|STRN3,11879,14453
gene-AP4S1|AP4S1,2253,3297
gene-G2E3|G2E3,0,2423
gene-PRKD1|PRKD1,124,650
gene-SCFD1|SCFD1,2768,8251
gene-LOC114593086|LOC114593086,14,1600
gene-NOVA1|NOVA1,678,5044
gene-LOC114593163|LOC114593163,814,868
gene-STXBP6|STXBP6,602,4151
gene-LOC114593265|LOC114593265,0,400
gene-LOC114593258|LOC114593258,0,31445
gene-ACTC1|ACTC1,4500,7883
gene-AQR|AQR,1282,14536
gene-DPH6|DPH6,62,2966
gene-LOC114606477|LOC114606477,22,2645
gene-C1H15orf41|C1H15orf41,191,5558
gene-LOC114593475|LOC114593475,0,91
gene-LOC114593462|LOC114593462,0,44
gene-LOC114593458|LOC114593458,13,74
gene-MEIS2|MEIS2,304,17074
gene-LOC114593483|LOC114593483,9,1330
gene-SPRED1|SPRED1,542,4293
gene-RASGRP1|RASGRP1,574,240
gene-FAM98B|FAM98B,2890,9327
gene-ARHGAP11A|ARHGAP11A,52,5467
gene-GREM1|GREM1,24,6846
gene-LOC114593525|LOC114593525,0,48
gene-SCG5|SCG5,237,4409
gene-FMN1|FMN1,16,1230
gene-LOC114593598|LOC114593598,0,16
gene-CHRM5|CHRM5,3,133
gene-RYR3|RYR3,587,2944
gene-AVEN|AVEN,945,9689
gene-KATNBL1|KATNBL1,271,1518
gene-EMC7|EMC7,13517,5014
gene-LOC114593641|LOC114593641,49,3105
gene-GPR176|GPR176,9,1523
gene-LOC114593650|LOC114593650,21,1370
gene-THBS1|THBS1,4470,498
gene-EIF2AK4|EIF2AK4,1220,13420
gene-BUB1B|BUB1B,19,14986
gene-ANKRD63|ANKRD63,23,868
gene-LOC114593739|LOC114593739,0,7003
gene-LOC114593726|LOC114593726,0,320
gene-BMF|BMF,178,251
gene-PLCB2|PLCB2,217,325
gene-LOC114593732|LOC114593732,0,150
gene-SRP14|SRP14,7096,10323
gene-INAFM2|INAFM2,633,8371
gene-DISP2|DISP2,4,1238
gene-CCDC9B|CCDC9B,316,861
gene-TRNAK-CUU-3|TRNAK-CUU,0,2
gene-LOC114593841|LOC114593841,0,584
gene-BAHD1|BAHD1,361,6854
gene-IVD|IVD,5289,10267
gene-CCDC32|CCDC32,890,4743
gene-LOC114593866|LOC114593866,4461,3426
gene-RAD51|RAD51,64,11950
gene-KNL1|KNL1,3,38107
gene-RPUSD2|RPUSD2,3269,4982
gene-LOC114593883|LOC114593883,310,1167
gene-LOC114593944|LOC114593944,0,83
gene-GCHFR|GCHFR,454,6618
gene-RMDN3|RMDN3,1672,5750
gene-PPP1R14D|PPP1R14D,16,274
gene-LOC114603440|LOC114603440,40,984
gene-SPINT1|SPINT1,140,2607
gene-LOC114593967|LOC114593967,7,409
gene-LOC114604906|LOC114604906,3,253
gene-VPS18|VPS18,1939,6439
gene-DLL4|DLL4,433,4398
gene-C1H15orf62|C1H15orf62,24,452
gene-DNAJC17|DNAJC17,2789,11089
gene-ZFYVE19|ZFYVE19,9916,3294
gene-CHAC1|CHAC1,4473,214
gene-INO80|INO80,756,5432
gene-LOC114594071|LOC114594071,215,548
gene-LOC114594056|LOC114594056,146,89
gene-OIP5|OIP5,0,947
gene-NUSAP1|NUSAP1,0,15825
gene-EXD1|EXD1,535,5450
gene-CHP1|CHP1,13970,6086
gene-LOC114594065|LOC114594065,15801,18797
gene-ITPKA|ITPKA,444,2073
gene-TYRO3|TYRO3,186,3953
gene-LOC114594157|LOC114594157,157,5751
gene-LOC114594185|LOC114594185,0,957
gene-LOC114594188|LOC114594188,3,359
gene-LTK|LTK,0,711
gene-RPAP1|RPAP1,714,6579
gene-NDUFAF1|NDUFAF1,6331,4654
gene-RTF1|RTF1,16703,15546
gene-LOC114594136|LOC114594136,653,5546
gene-LOC114594235|LOC114594235,171,636
gene-JMJD7|JMJD7,507,1655
gene-MAPKBP1|MAPKBP1,3724,10624
gene-LOC114594255|LOC114594255,4,11
gene-EHD4|EHD4,1285,1350
gene-LOC114594260|LOC114594260,38,693
gene-LOC114582942|LOC114582942,0,42
gene-LOC114581922|LOC114581922,138,99
gene-SPTBN5|SPTBN5,8095,1611
