gene_id,SRR28919955,SRR28919960,SRR28919961,SRR28919962,SRR28919963,SRR28919964
gene-TRNAS-GCU|TRNAS-GCU,0,0,0,0,0,0
gene-KNL1|KNL1,267,0,0,52,418,278
gene-RAD51|RAD51,302,19,10,930,2496,294
gene-GCHFR|GCHFR,0,13,12,0,0,0
gene-RMDN3|RMDN3,32,0,0,47,283,109
gene-ZFYVE19|ZFYVE19,0,0,0,0,0,0
gene-DNAJC17|DNAJC17,604,78,34,176,983,1144
gene-C1H15orf62|C1H15orf62,1,2,0,0,2,0
gene-VPS18|VPS18,127,40,37,329,1134,75
gene-DLL4|DLL4,18,23,25,27,149,35
gene-CHAC1|CHAC1,0,2,0,48,438,66
gene-EXD1|EXD1,197,0,0,18,285,131
gene-INO80|INO80,390,175,207,477,1743,311
gene-OIP5|OIP5,0,0,0,0,0,0
gene-NUSAP1|NUSAP1,0,0,0,0,0,0
gene-CHP1|CHP1,594,257,155,1648,2524,549
gene-LOC136655581|LOC136655581,94,78,47,20,25,91
gene-ITPKA|ITPKA,127,77,86,71,159,83
gene-NDUFAF1|NDUFAF1,0,0,0,16,141,40
gene-RTF1|RTF1,934,521,402,914,3927,2453
gene-JMJD7|JMJD7,0,30,0,0,0,0
gene-LOC136637688|LOC136637688,0,0,0,0,0,0
gene-SPTBN5|SPTBN5,49,0,0,0,0,94
gene-RPAP1|RPAP1,20,0,9,20,183,43
gene-TYRO3|TYRO3,62,17,13,27,0,48
gene-MAPKBP1|MAPKBP1,38,17,12,57,415,253
gene-EHD4|EHD4,29,35,16,90,655,33
gene-MGA|MGA,432,31,39,17,83,638
gene-LOC136641005|LOC136641005,0,0,0,0,0,0
gene-LOC136641924|LOC136641924,0,0,0,0,0,0
gene-LOC136641571|LOC136641571,0,0,0,0,0,0
gene-PLA2G4F|PLA2G4F,0,0,3,22,16,4
gene-LOC136638036|LOC136638036,0,0,0,0,0,0
gene-TMEM87A|TMEM87A,0,192,142,0,0,43
gene-VPS39|VPS39,101,77,80,294,676,44
gene-LOC136638176|LOC136638176,0,0,0,0,0,0
gene-GANC|GANC,9,7,28,17,84,30
gene-CAPN3|CAPN3,0,0,0,0,0,12
gene-LOC136638378|LOC136638378,0,0,0,0,0,0
gene-ZNF106|ZNF106,40,26,0,330,4896,88
gene-SNAP23|SNAP23,455,235,144,999,5210,710
gene-LOC136660701|LOC136660701,0,0,0,6,60,13
gene-CDAN1|CDAN1,49,0,0,72,399,47
gene-LRRC57|LRRC57,0,0,0,0,347,175
gene-HAUS2|HAUS2,0,0,0,0,0,4
gene-STARD9|STARD9,15,0,0,0,9,132
gene-LOC136645050|LOC136645050,0,0,0,0,0,0
gene-TTBK2|TTBK2,339,23,11,60,372,2354
gene-LOC136637249|LOC136637249,0,0,0,0,0,0
gene-LOC136637543|LOC136637543,0,0,0,0,0,0
gene-LOC136655285|LOC136655285,0,3,2,0,4,5
gene-LOC136637237|LOC136637237,0,0,0,0,0,0
gene-TMEM62|TMEM62,10,0,2,2,4,3
gene-LOC136654373|LOC136654373,7,12,8,0,18,12
gene-UBR1|UBR1,219,126,104,167,793,293
gene-TEX12|TEX12,0,0,0,0,0,0
gene-LOC136662549|LOC136662549,0,11,0,9,26,0
gene-LOC136659447|LOC136659447,15,8,0,0,174,17
gene-HEATR4|HEATR4,32,0,0,0,0,418
gene-RIOX1|RIOX1,7,2,1,8,35,10
gene-MIDEAS|MIDEAS,13,32,16,6,7,11
gene-LOC136638259|LOC136638259,0,0,0,0,0,0
gene-LOC136637686|LOC136637686,0,0,0,0,0,0
gene-DNAL1|DNAL1,182,0,0,91,705,2388
gene-PAPLN|PAPLN,16,0,0,84,357,62
gene-NUMB|NUMB,344,169,100,172,1225,977
gene-PSEN1|PSEN1,149,72,35,574,1336,209
gene-ZFYVE1|ZFYVE1,127,155,185,115,222,1309
gene-DCAF4|DCAF4,68,0,0,0,0,78
gene-RBM25|RBM25,3337,1227,749,746,4842,10870
gene-LOC136637886|LOC136637886,0,0,0,0,0,0
gene-LOC136638112|LOC136638112,0,0,0,0,0,0
gene-LOC136636585|LOC136636585,0,0,0,0,0,136
gene-LOC136638108|LOC136638108,0,0,0,0,0,0
gene-DPF3|DPF3,135,49,35,38,103,599
gene-LOC136655921|LOC136655921,3,0,0,0,0,194
gene-LOC136636589|LOC136636589,5,0,0,0,0,198
