gene-SGPP1|SGPP1,1096,1121,4207
gene-SYNE2|SYNE2,652,4206,2694
gene-LOC128341210|LOC128341210,2,4,2
gene-AKAP5|AKAP5,221,95,24
gene-ZBTB25|ZBTB25,175,9936,139
gene-ZBTB1|ZBTB1,690,5785,1801
gene-HSPA2|HSPA2,448,38238,100
gene-LOC128337298|LOC128337298,0,11,0
gene-PPP1R36|PPP1R36,28,240,0
gene-LOC128339912|LOC128339912,0,0,0
gene-NUDT14|NUDT14,41,138,113
gene-GPR132|GPR132,0,42,0
gene-JAG2|JAG2,78,1145,73
gene-BRF1|BRF1,336,4812,332
gene-BTBD6|BTBD6,636,685,1216
gene-LOC128326186|LOC128326186,0,2,2
gene-CDCA4|CDCA4,1153,4406,779
gene-LOC128340296|LOC128340296,1140,8183,1113
gene-CLBA1|CLBA1,229,4396,117
gene-LOC128339257|LOC128339257,0,10,0
gene-ADSS1|ADSS1,330,932,427
gene-LOC128327952|LOC128327952,12,87,28
gene-LOC128327982|LOC128327982,0,12,6
gene-SIVA1|SIVA1,241,8508,225
gene-MTHFD1|MTHFD1,90610,5053,44714
gene-TRNAT-UGU|TRNAT-UGU,24,1,7
gene-ZBTB42|ZBTB42,196,12051,396
gene-AKT1|AKT1,401,6788,1651
gene-PLD4|PLD4,0,124,41
gene-CEP170B|CEP170B,229,2394,1031
gene-AHNAK2|AHNAK2,631,1145,1492
gene-LOC128339944|LOC128339944,22,547,42
gene-TMEM179|TMEM179,87,27,0
gene-LOC128341317|LOC128341317,0,0,0
gene-LOC128339916|LOC128339916,0,3,0
gene-LOC128339913|LOC128339913,81,32,200
gene-LOC128340414|LOC128340414,54,35,129
gene-KIF26A|KIF26A,40,522,49
gene-LOC128339249|LOC128339249,0,0,0
gene-TDRD9|TDRD9,10,1026,60
gene-ASPG|ASPG,12138,546,4848
gene-LOC128339177|LOC128339177,2331,1768,1602
gene-LOC128339187|LOC128339187,30,59,0
gene-PPP1R13B|PPP1R13B,1557,11353,1890
gene-ZFYVE21|ZFYVE21,1869,11436,2494
gene-XRCC3|XRCC3,256,5686,118
gene-KLC1|KLC1,2653,6764,5532
gene-LOC128339124|LOC128339124,406,5171,515
gene-BAG5|BAG5,402,8155,493
gene-TRMT61A|TRMT61A,187,2752,242
gene-CKB|CKB,1395,47908,741
gene-MARK3|MARK3,1579,12446,2734
gene-TNFAIP2|TNFAIP2,150,296,457
gene-EIF5|EIF5,11069,26622,15348
gene-LOC128341379|LOC128341379,3,0,9
gene-EXOC3L4|EXOC3L4,117,21,373
gene-LOC128339837|LOC128339837,0,0,10
gene-LOC128332970|LOC128332970,78,312,339
gene-LOC128332983|LOC128332983,55,0,74
gene-CDC42BPB|CDC42BPB,2147,9752,3958
gene-LOC128328169|LOC128328169,0,255,0
gene-TRAF3|TRAF3,207,4524,702
gene-RCOR1|RCOR1,176,1302,194
gene-ANKRD9|ANKRD9,2801,782,1767
gene-TRNAI-AAU|TRNAI-AAU,2,0,0
gene-MOK|MOK,41,68,57
gene-TECPR2|TECPR2,640,8141,1534
gene-LOC128346791|LOC128346791,0,0,0
gene-ZNF839|ZNF839,923,7735,1982
gene-CINP|CINP,146,1661,373
gene-WDR20|WDR20,106,2863,159
gene-LOC128345254|LOC128345254,8,18171,10
gene-LOC128331955|LOC128331955,4488,162609,4408
gene-DYNC1H1|DYNC1H1,3339,16063,5755
gene-PPP2R5C|PPP2R5C,995,8595,1674
gene-DIO3|DIO3,2663,1021,547
gene-DLK1|DLK1,266,997,168
gene-BEGAIN|BEGAIN,12,596,20
gene-LOC128340033|LOC128340033,10,2,7
gene-WDR25|WDR25,90,1752,98
gene-WARS1|WARS1,466,6738,354
gene-LOC128330096|LOC128330096,0,49,0
gene-SLC25A29|SLC25A29,12782,12825,4199
gene-DEGS2|DEGS2,10,12,0
gene-YY1|YY1,2586,7665,4199
gene-LOC128336801|LOC128336801,17,11,24
gene-EML1|EML1,53,336,40
gene-LOC128326286|LOC128326286,0,14,0
gene-LOC128326272|LOC128326272,0,0,0
gene-LOC128326283|LOC128326283,0,0,0
gene-EVL|EVL,776,2654,1228
gene-TRNAS-UGA|TRNAS-UGA,0,0,3
gene-HHIPL1|HHIPL1,520,1397,936
gene-LOC128339286|LOC128339286,39,215,54
gene-LOC128339287|LOC128339287,408,132,611
gene-LOC128336795|LOC128336795,9736,854,10183
gene-CCDC85C|CCDC85C,1921,4704,5499
gene-LOC128339297|LOC128339297,0,0,41
gene-CCNK|CCNK,1937,9953,2957
gene-SETD3|SETD3,2850,8339,1917
gene-LOC128340565|LOC128340565,17,0,40
gene-BCL11B|BCL11B,146,47,175
gene-LOC128340568|LOC128340568,15,0,0
gene-LOC128341291|LOC128341291,1,4,2
gene-VRK1|VRK1,382,10893,1535
gene-LOC128328869|LOC128328869,0,0,0
gene-AK7|AK7,17,934,6
gene-GSKIP|GSKIP,515,12905,982
gene-PAPOLA|PAPOLA,2073,15204,3663
gene-C1H14orf132|C1H14orf132,54,774,0
gene-ATG2B|ATG2B,880,4346,1619
gene-LOC128345586|LOC128345586,22,71,0
gene-LOC128340004|LOC128340004,70,17,31
gene-LOC128339446|LOC128339446,172,927,183
gene-LOC128341361|LOC128341361,3,7,10
gene-LOC128339643|LOC128339643,0,0,0
gene-GLRX5|GLRX5,3018,6753,2513
gene-SYNE3|SYNE3,0,67,13
gene-CLMN|CLMN,689,344,1198
gene-LOC128341065|LOC128341065,0,0,0
gene-LOC128340284|LOC128340284,1,0,0
gene-DICER1|DICER1,1768,7428,2492
gene-LOC128339487|LOC128339487,273,4,45
gene-LOC128340960|LOC128340960,266081,302,126788
gene-LOC128340659|LOC128340659,1220,0,227
gene-LOC128340662|LOC128340662,6787,2485,16734
gene-LOC128340664|LOC128340664,75906,9,149896
gene-PPP4R4|PPP4R4,137,1768,286
gene-DDX24|DDX24,389,7347,512
gene-LOC128328924|LOC128328924,0,0,0
gene-CCDC197|CCDC197,5,10,0
gene-SERPINA10|SERPINA10,25433,75,31717
gene-LOC128340665|LOC128340665,74,0,54
gene-LOC128328927|LOC128328927,0,0,0
gene-ASB2|ASB2,59,1601,9
gene-FAM181A|FAM181A,58,217,85
gene-LOC128340658|LOC128340658,279736,240,468705
gene-LOC128340667|LOC128340667,65,0,461
gene-LOC128341328|LOC128341328,0,0,0
gene-PRIMA1|PRIMA1,2824,408,4599
gene-LOC128326386|LOC128326386,0,0,0
gene-LOC128326391|LOC128326391,300,7,580
gene-UNC79|UNC79,249,1550,333
gene-LOC128323141|LOC128323141,0,2,18
gene-LOC128335880|LOC128335880,0,127,0
gene-BTBD7|BTBD7,849,3263,1044
gene-LOC128335886|LOC128335886,0,5,4
gene-LOC128326649|LOC128326649,160,1674,268
gene-UBR7|UBR7,472,8941,755
gene-LYSET|LYSET,174,3714,291
gene-LOC128340154|LOC128340154,0,0,0
gene-CHGA|CHGA,248,184,0
gene-ITPK1|ITPK1,1203,2296,1602
gene-GOLGA5|GOLGA5,1290,8158,2150
gene-LOC128333743|LOC128333743,0,0,0
gene-RIN3|RIN3,147,3734,101
gene-SLC24A4|SLC24A4,73,132,9
gene-LOC128332621|LOC128332621,1135,2349,997
gene-LOC128332615|LOC128332615,19838,12980,20550
gene-TRIP11|TRIP11,789,8018,2146
gene-ATXN3|ATXN3,1538,1887,3392
gene-CPSF2|CPSF2,1579,7621,2331
gene-NDUFB1|NDUFB1,4310,4695,3890
gene-FBLN5|FBLN5,48,2628,63
gene-LOC128324033|LOC128324033,0,145,0
gene-TC2N|TC2N,30,13055,64
gene-PPP4R3A|PPP4R3A,779,6785,1111
gene-CCDC88C|CCDC88C,61,4081,268
gene-LOC128339820|LOC128339820,0,38,0
gene-LOC128334016|LOC128334016,0,74,0
gene-LOC128334118|LOC128334118,0,0,0
gene-LOC128334054|LOC128334054,22,154,8
gene-TTC7B|TTC7B,286,2226,647
gene-DGLUCY|DGLUCY,297,284,521
gene-RPS6KA5|RPS6KA5,346,184,739
gene-LOC128334257|LOC128334257,22,44,5
gene-CALM1|CALM1,4878,14289,3855
gene-LOC128327890|LOC128327890,0,24,0
gene-NRDE2|NRDE2,1955,3955,3342
gene-PSMC1|PSMC1,4551,8320,2983
gene-TDP1|TDP1,416,6176,287
gene-EFCAB11|EFCAB11,289,2709,159
gene-LOC128340610|LOC128340610,2,6,3
gene-TTC8|TTC8,359,2529,619
gene-FOXN3|FOXN3,1382,2721,1872
gene-LOC128328842|LOC128328842,4,0,44
gene-LOC128328844|LOC128328844,23,73,7
gene-EML5|EML5,118,260,82
gene-LOC128340420|LOC128340420,122,25,84
gene-ZC3H14|ZC3H14,515,4692,1003
gene-PTPN21|PTPN21,30,3104,48
gene-SPATA7|SPATA7,8,990,70
gene-LOC128336661|LOC128336661,0,10,0
gene-KCNK10|KCNK10,9,61,0
gene-LOC128336667|LOC128336667,0,16,0
gene-GPR65|GPR65,20,19,6
gene-LOC128340491|LOC128340491,0,0,0
gene-GALC|GALC,383,1319,617
gene-TRNAV-UAC|TRNAV-UAC,0,0,0
gene-FLRT2|FLRT2,91,515,31
gene-LOC128339490|LOC128339490,0,0,0
gene-SEL1L|SEL1L,2302,6801,1946
gene-STON2|STON2,153,1185,56
gene-GTF2A1|GTF2A1,2886,9284,2561
gene-DIO2|DIO2,154,0,73
gene-CEP128|CEP128,6764,1715,15025
gene-SPTLC2|SPTLC2,102,6161,99
gene-ISM2|ISM2,261,291,504
gene-ADCK1|ADCK1,141,1783,119
gene-LOC128341183|LOC128341183,0,0,0
gene-LOC128341184|LOC128341184,0,0,0
gene-SNW1|SNW1,1645,10560,1576
gene-SLIRP|SLIRP,2101,1595,1905
gene-ALKBH1|ALKBH1,422,3489,655
gene-AHSA1|AHSA1,863,8876,987
gene-VIPAS39|VIPAS39,513,4553,1357
gene-NRXN3|NRXN3,97,1110,8
gene-LOC128323005|LOC128323005,0,0,0
gene-LOC128323013|LOC128323013,0,7,0
gene-LOC128323009|LOC128323009,0,0,0
gene-LOC128323001|LOC128323001,0,0,0
gene-TRNAV-UAC-2|TRNAV-UAC,0,0,0
gene-SAMD15|SAMD15,25,1107,34
gene-TMED8|TMED8,481,887,307
gene-GSTZ1|GSTZ1,3600,1479,6032
gene-POMT2|POMT2,689,4449,1475
gene-NGB|NGB,28,145,37
gene-LOC128340117|LOC128340117,0,1228,16
gene-TMEM63C|TMEM63C,63,654,127
gene-LOC128339216|LOC128339216,13,15,20
gene-IRF2BPL|IRF2BPL,1671,3016,2260
gene-LRRC74A|LRRC74A,0,13,0
gene-ANGEL1|ANGEL1,900,3223,946
gene-VASH1|VASH1,58,10657,130
gene-GPATCH2L|GPATCH2L,663,10634,720
gene-TGFB3|TGFB3,68,1346,75
gene-IFT43|IFT43,517,2767,1241
gene-LOC128330268|LOC128330268,26,71,26
gene-TTLL5|TTLL5,90,1352,289
gene-JDP2|JDP2,46,2180,305
gene-LOC128340588|LOC128340588,0,7,0
gene-LOC128340587|LOC128340587,0,12,0
gene-LOC128340586|LOC128340586,6,233,16
gene-ERG28|ERG28,358,1858,596
gene-BATF|BATF,10,74,33
gene-FLVCR2|FLVCR2,888,747,851
gene-FOS|FOS,7289,1673,634
gene-TMED10|TMED10,6256,10185,4822
gene-ZC2HC1C|ZC2HC1C,0,8288,10
gene-NEK9|NEK9,855,2508,1329
gene-ACYP1|ACYP1,91,2298,186
gene-MLH3|MLH3,198,2126,280
gene-LOC128340632|LOC128340632,0,0,0
gene-EIF2B2|EIF2B2,260,707,414
gene-PGF|PGF,6,571,0
gene-RPS6KL1|RPS6KL1,62,123,27
gene-LOC128341407|LOC128341407,1,3,10
gene-LOC128341401|LOC128341401,1,2,1
gene-PROX2|PROX2,8,142,17
gene-DLST|DLST,1448,11636,1620
gene-LOC128341400|LOC128341400,5,5,1
gene-LOC128341399|LOC128341399,3,7,11
gene-YLPM1|YLPM1,925,4775,1209
gene-LOC128349980|LOC128349980,0,0,0
gene-LOC128349982|LOC128349982,0,23,12
gene-FCF1|FCF1,721,5935,610
gene-AREL1|AREL1,556,4263,628
gene-LTBP2|LTBP2,0,250,10
gene-TRNAG-UCC|TRNAG-UCC,0,0,0
gene-LOC128336789|LOC128336789,0,0,0
gene-NPC2|NPC2,3222,16425,3156
gene-LOC128339274|LOC128339274,0,31,20
gene-ISCA2|ISCA2,384,2520,238
